name,kind,bus0,bus1,v_nom,s_nom,length
21802-21812-1,line,21802,21812,20.0,11.0,4.5
21804-21814-1,line,21804,21814,38.0,44.1,3.01
21804-21824-1,line,21804,21824,38.0,12.4,11.2
21804-21834-1,line,21804,21834,38.0,38.0,2.5
21804-21864-1,line,21804,21864,38.0,38.1,13.2
21814-21854-1,line,21814,21854,38.0,44.1,4.86
21821-21831-1,line,21821,21831,10.0,7.1,0.52
21822-21842-1,line,21822,21842,20.0,14.27,9.5
21822-68313-1,line,21822,68313,20.0,14.27,6.7
21834-21844-1,line,21834,21844,38.0,38.1,6.0
22201-22221-1,line,22201,22221,10.0,7.1,5.0
22204-22208-1,line,22204,22208,38.0,999.0,0.0
22204-22244-1,line,22204,22244,38.0,19.7,0.0
22204-22264-1,line,22204,22264,38.0,17.1,10.3
22208-22284-1,line,22208,22284,38.0,44.1,12.0
22224-22234-1,line,22224,22234,38.0,15.8,17.9
22231-68125-1,line,22231,68125,10.0,8.0,13.5
22232-22252-1,line,22232,22252,20.0,14.27,12.0
22234-22244-1,line,22234,22244,38.0,19.7,16.2
22271-22282-1,line,22271,22282,20.0,14.27,9.0
22442-22452-1,line,22442,22452,20.0,18.1,7.0
22814-22824-1,line,22814,22824,38.0,44.1,10.4
23002-23012-1,line,23002,23012,20.0,18.1,2.5
23604-23614-1,line,23604,23614,38.0,44.1,3.0
23611-23621-1,line,23611,23621,10.0,9999.0,0.0
25604-25605-1,line,25604,25605,38.0,19.7,0.0
25604-25614-1,line,25604,25614,38.0,19.7,10.5
26700-26702-1,line,26700,26702,20.0,999.0,0.0
26702-26709-1,line,26702,26709,20.0,999.0,0.0
26702-26710-1,line,26702,26710,20.0,999.0,0.0
26702-26712-1,line,26702,26712,20.0,999.0,0.0
26703-26712-1,line,26703,26712,20.0,999.0,0.0
26705-26712-1,line,26705,26712,20.0,999.0,0.0
26705-26722-1,line,26705,26722,20.0,999.0,0.0
27004-68566-1,line,27004,68566,38.0,999.0,0.0
27204-27205-1,line,27204,27205,38.0,25.3,0.0
27204-27214-1,line,27204,27214,38.0,25.3,10.89
27214-27224-1,line,27214,27224,38.0,44.1,0.9
27302-27361-1,line,27302,27361,20.0,31.5,0.0
27404-27414-1,line,27404,27414,38.0,33.6,8.2
27404-27424-1,line,27404,27424,38.0,25.3,9.0
27432-27442-1,line,27432,27442,20.0,14.27,1.3
27702-27703-1,line,27702,27703,20.0,9999.0,0.0
27712-27722-1,line,27712,27722,20.0,14.27,2.6
28601-28602-1,line,28601,28602,10.0,9999.0,0.0
28814-28834-1,line,28814,28834,38.0,44.1,14.0
28824-28834-1,line,28824,28834,38.0,44.1,16.0
31004-31014-1,line,31004,31014,38.0,10.2,6.15
31004-31024-1,line,31004,31024,38.0,33.6,4.1
32404-32405-1,line,32404,32405,38.0,9999.0,0.0
32504-32514-1,line,32504,32514,38.0,44.1,1.53
32504-32524-1,line,32504,32524,38.0,44.1,16.9
32554-32564-1,line,32554,32564,38.0,44.1,1.0
32604-32605-1,line,32604,32605,38.0,9999.0,0.0
33004-33014-1,line,33004,33014,38.0,51.0,20.43
33014-33024-1,line,33014,33024,38.0,25.3,8.4
33014-68564-1,line,33014,68564,38.0,76.3,0.0
33024-33034-1,line,33024,33034,38.0,25.3,10.88
34602-68165-1,line,34602,68165,20.0,18.1,5.1
34803-34813-1,line,34803,34813,33.0,44.1,14.0
35604-68144-1,line,35604,68144,38.0,33.6,18.2
35804-35814-1,line,35804,35814,38.0,33.6,28.1
36204-36214-1,line,36204,36214,38.0,38.0,1.6
36402-36412-1,line,36402,36412,20.0,28.4,10.5
36402-36422-1,line,36402,36422,20.0,28.4,13.8
36402-36432-1,line,36402,36432,20.0,18.1,12.0
36402-36442-1,line,36402,36442,20.0,18.1,5.7
36432-36452-1,line,36432,36452,20.0,14.27,1.7
36432-36462-1,line,36432,36462,20.0,18.1,0.8
36442-36482-1,line,36442,36482,20.0,18.1,0.6
36442-36492-1,line,36442,36492,20.0,18.1,4.65
36502-36503-1,line,36502,36503,20.0,9999.0,0.0
38203-38204-1,line,38203,38204,38.0,25.3,4.4
38204-38214-1,line,38204,38214,38.0,38.0,11.1
38204-38224-1,line,38204,38224,38.0,33.6,3.8
38211-38242-1,line,38211,38242,20.0,14.27,5.15
38214-38264-1,line,38214,38264,38.0,10.2,10.0
38224-38234-1,line,38224,38234,38.0,999.0,0.0
38224-38254-1,line,38224,38254,38.0,10.2,23.8
38233-38234-1,line,38233,38234,38.0,25.3,4.9
38234-38244-1,line,38234,38244,38.0,16.4,12.9
38264-38284-1,line,38264,38284,38.0,25.3,6.7
40004-40014-1,line,40004,40014,38.0,44.1,5.3
40912-40922-1,line,40912,40922,20.0,14.27,0.77
40922-40932-1,line,40922,40932,20.0,14.27,2.64
42004-42014-1,line,42004,42014,38.0,44.1,1.83
42011-42021-1,line,42011,42021,10.0,7.1,1.5
42204-42214-1,line,42204,42214,38.0,25.3,20.0
42204-42224-1,line,42204,42224,38.0,29.2,5.1
42224-42234-1,line,42224,42234,38.0,38.1,7.1
42234-42244-1,line,42234,42244,38.0,25.3,6.0
42244-68554-1,line,42244,68554,38.0,25.3,1.0
43704-43714-1,line,43704,43714,38.0,44.1,1.0
43704-43724-1,line,43704,43724,38.0,38.0,4.85
43742-43752-1,line,43742,43752,20.0,14.27,9.5
44001-44011-1,line,44001,44011,10.0,11.6,0.0
44804-44805-1,line,44804,44805,38.0,84.6,0.0
44804-44814-1,line,44804,44814,38.0,33.6,2.6
44804-44834-1,line,44804,44834,38.0,51.0,20.0
44811-44821-1,line,44811,44821,10.0,10.0,1.1
44812-68285-1,line,44812,68285,20.0,14.27,5.5
46804-46814-1,line,46804,46814,38.0,16.4,13.13
46804-46834-1,line,46804,46834,38.0,38.0,9.0
46804-46854-1,line,46804,46854,38.0,25.3,8.49
46804-68547-1,line,46804,68547,38.0,79.7,0.0
46814-46824-1,line,46814,46824,38.0,25.3,10.2
46834-46844-1,line,46834,46844,38.0,19.7,2.4
47004-47014-1,line,47004,47014,38.0,51.0,5.0
47014-47024-1,line,47014,47024,38.0,51.0,5.0
47024-47034-1,line,47024,47034,38.0,33.6,0.7
49504-49514-1,line,49504,49514,38.0,44.1,9.3
49604-49605-1,line,49604,49605,38.0,33.6,0.0
49604-49614-1,line,49604,49614,38.0,33.6,8.89
49802-49832-1,line,49802,49832,20.0,14.27,2.5
49804-49814-1,line,49804,49814,38.0,15.8,26.2
49812-49832-1,line,49812,49832,20.0,14.27,6.4
49832-49842-1,line,49832,49842,20.0,14.27,4.1
49912-49932-1,line,49912,49932,20.0,14.27,7.2
49912-49942-1,line,49912,49942,20.0,14.27,1.65
49912-49952-1,line,49912,49952,20.0,14.27,7.6
49952-49962-1,line,49952,49962,20.0,14.27,1.0
49952-49982-1,line,49952,49982,20.0,11.0,0.79
49977-49978-1,line,49977,49978,0.69,999.0,0.0
49977-49979-1,line,49977,49979,0.69,999.0,0.0
50004-50014-1,line,50004,50014,38.0,19.7,25.8
50022-50032-1,line,50022,50032,20.0,18.1,12.5
52201-52211-1,line,52201,52211,10.0,9999.0,0.0
52204-52214-1,line,52204,52214,38.0,44.1,0.81
52204-52224-1,line,52204,52224,38.0,10.2,3.2
52224-52234-1,line,52224,52234,38.0,10.2,12.7
52404-52414-1,line,52404,52414,38.0,44.1,0.4
52604-52654-1,line,52604,52654,38.0,51.0,1.5
52604-52694-1,line,52604,52694,38.0,25.3,9.6
52605-52615-1,line,52605,52615,38.0,15.8,2.5
52605-52694-1,line,52605,52694,38.0,25.3,7.25
52614-52624-1,line,52614,52624,38.0,44.1,19.0
52624-52634-1,line,52624,52634,38.0,44.1,4.0
52624-52644-1,line,52624,52644,38.0,44.1,4.0
52625-52674-1,line,52625,52674,38.0,33.6,3.1
52654-52664-1,line,52654,52664,38.0,25.3,18.5
52664-52674-1,line,52664,52674,38.0,33.6,4.2
52694-68233-2,line,52694,68233,38.0,33.6,15.2
52704-52784-1,line,52704,52784,38.0,38.0,11.5
52704-52794-1,line,52704,52794,38.0,44.1,21.0
52705-52714-1,line,52705,52714,38.0,44.1,21.0
52714-52744-1,line,52714,52744,38.0,44.1,21.5
52724-52764-1,line,52724,52764,38.0,44.1,9.0
53002-53012-1,line,53002,53012,20.0,14.27,3.2
53002-53022-1,line,53002,53022,20.0,14.27,2.6
53004-53014-1,line,53004,53014,38.0,10.2,13.3
53004-53024-1,line,53004,53024,38.0,44.1,29.53
53024-53034-1,line,53024,53034,38.0,38.0,0.0
53042-53062-1,line,53042,53062,20.0,14.27,5.2
53052-53072-1,line,53052,53072,20.0,14.27,2.0
53204-53214-1,line,53204,53214,38.0,30.2,3.69
53204-53221-1,line,53204,53221,38.0,10.0,1.8
53404-53414-1,line,53404,53414,38.0,44.1,0.18
53411-53431-1,line,53411,53431,10.0,7.1,4.5
53421-53431-1,line,53421,53431,10.0,11.6,0.18
53604-68195-1,line,53604,68195,38.0,9999.0,0.0
53614-53624-1,line,53614,53624,38.0,44.1,14.0
53624-68284-1,line,53624,68284,38.0,44.1,0.0
54401-54431-1,line,54401,54431,10.0,7.1,1.2
54402-54425-1,line,54402,54425,20.0,14.27,6.9
54404-54414-1,line,54404,54414,38.0,19.7,5.4
54404-54424-1,line,54404,54424,38.0,19.7,8.8
54412-54422-1,line,54412,54422,20.0,14.27,6.9
54422-54426-1,line,54422,54426,20.0,14.27,12.5
55004-55024-1,line,55004,55024,38.0,51.0,10.0
55042-55052-1,line,55042,55052,20.0,18.1,0.8
62004-62014-1,line,62004,62014,38.0,44.1,4.8
62014-68290-1,line,62014,68290,38.0,25.3,8.1
68313-68314-1,line,68313,68314,20.0,14.27,0.0
69182-69183-1,line,69182,69183,11.5,999.0,0.0
70030-70031-1,line,70030,70031,33.0,30.0,0.0
70030-70031-2,line,70030,70031,33.0,30.0,0.0
70030-70032-1,line,70030,70032,33.0,30.0,0.0
70030-70032-2,line,70030,70032,33.0,30.0,0.0
70030-70090-1,line,70030,70090,33.0,120.0,0.0
70032-70033-1,line,70032,70033,33.0,120.0,0.0
70032-79080-1,line,70032,79080,33.0,30.0,0.0
70032-79081-1,line,70032,79081,33.0,30.0,0.0
70080-70090-1,line,70080,70090,33.0,9999.0,0.0
70080-70091-1,line,70080,70091,33.0,9999.0,0.0
70090-70093-1,line,70090,70093,33.0,9999.0,0.0
70090-70094-1,line,70090,70094,33.0,9999.0,0.0
70090-70095-1,line,70090,70095,33.0,9999.0,0.0
70330-70390-1,line,70330,70390,33.0,9999.0,0.0
70390-70394-1,line,70390,70394,33.0,9999.0,0.0
71031-71090-1,line,71031,71090,33.0,356.0,0.0
71033-71034-1,line,71033,71034,33.0,9999.0,0.0
71033-71090-1,line,71033,71090,33.0,9999.0,0.0
71034-71035-1,line,71034,71035,33.0,9999.0,0.0
71034-71080-1,line,71034,71080,33.0,9999.0,0.0
71035-71090-1,line,71035,71090,33.0,9999.0,0.0
71037-71090-1,line,71037,71090,33.0,178.0,0.0
71038-71090-1,line,71038,71090,33.0,178.0,0.0
71080-71091-1,line,71080,71091,33.0,9999.0,0.0
71090-71093-1,line,71090,71093,33.0,356.0,0.0
71530-71590-1,line,71530,71590,33.0,60.0,0.0
72530-72590-1,line,72530,72590,33.0,60.0,0.0
73031-73032-1,line,73031,73032,33.0,60.0,0.0
73031-78030-1,line,73031,78030,33.0,30.0,0.0
73031-89030-1,line,73031,89030,33.0,30.0,0.0
73032-78030-1,line,73032,78030,33.0,30.0,0.0
73032-89030-1,line,73032,89030,33.0,30.0,0.0
74030-74090-1,line,74030,74090,33.0,34.2,0.0
74030-80532-1,line,74030,80532,33.0,17.1,0.0
74030-80532-2,line,74030,80532,33.0,17.1,0.0
74090-74091-1,line,74090,74091,33.0,9999.0,0.0
75030-75090-1,line,75030,75090,33.0,9999.0,0.0
75031-75090-1,line,75031,75090,33.0,9999.0,0.0
75031-75090-2,line,75031,75090,33.0,9999.0,0.0
75031-75092-1,line,75031,75092,33.0,9999.0,0.0
75031-75093-1,line,75031,75093,33.0,9999.0,0.0
75032-75080-1,line,75032,75080,33.0,9999.0,0.0
75080-75090-1,line,75080,75090,33.0,9999.0,0.0
75080-75091-1,line,75080,75091,33.0,9999.0,0.0
75090-75094-1,line,75090,75094,33.0,9999.0,0.0
75090-75095-1,line,75090,75095,33.0,9999.0,0.0
75530-75590-1,line,75530,75590,33.0,9999.0,0.0
75590-75591-1,line,75590,75591,33.0,9999.0,0.0
76031-86030-1,line,76031,86030,33.0,46.0,0.0
76031-86030-2,line,76031,86030,33.0,46.0,0.0
76032-82530-1,line,76032,82530,33.0,30.0,0.0
76032-82530-2,line,76032,82530,33.0,30.0,0.0
76532-76533-1,line,76532,76533,33.0,34.2,0.0
76532-76533-2,line,76532,76533,33.0,34.2,0.0
77030-77090-1,line,77030,77090,33.0,9999.0,0.0
77230-77291-1,line,77230,77291,33.0,9999.0,0.0
77230-77292-1,line,77230,77292,33.0,9999.0,0.0
77230-77294-1,line,77230,77294,33.0,9999.0,0.0
77530-77590-1,line,77530,77590,33.0,9999.0,0.0
77531-77590-1,line,77531,77590,33.0,9999.0,0.0
77531-77590-2,line,77531,77590,33.0,9999.0,0.0
77531-77591-1,line,77531,77591,33.0,9999.0,0.0
78030-89030-1,line,78030,89030,33.0,28.0,0.0
78030-89030-2,line,78030,89030,33.0,31.3,0.0
78530-78590-1,line,78530,78590,33.0,9999.0,0.0
79030-79080-1,line,79030,79080,33.0,20.0,0.0
79030-79081-1,line,79030,79081,33.0,20.0,0.0
79030-79090-1,line,79030,79090,33.0,40.0,0.0
79031-79082-1,line,79031,79082,33.0,9999.0,0.0
79031-79090-1,line,79031,79090,33.0,9999.0,0.0
79031-79090-2,line,79031,79090,33.0,9999.0,0.0
79032-79082-1,line,79032,79082,33.0,9999.0,0.0
79082-79091-1,line,79082,79091,33.0,9999.0,0.0
79090-79094-1,line,79090,79094,33.0,9999.0,0.0
80531-80532-1,line,80531,80532,33.0,34.2,0.0
80532-80540-1,line,80532,80540,33.0,34.2,0.0
80700-80730-1,line,80700,80730,33.0,9999.0,0.0
80701-80730-1,line,80701,80730,33.0,9999.0,0.0
80702-80730-1,line,80702,80730,33.0,9999.0,0.0
80730-80790-1,line,80730,80790,33.0,9999.0,0.0
80730-80795-1,line,80730,80795,33.0,9999.0,0.0
80730-80797-1,line,80730,80797,33.0,9999.0,0.0
80730-80798-1,line,80730,80798,33.0,9999.0,0.0
81830-81831-1,line,81830,81831,33.0,9999.0,0.0
81830-81832-1,line,81830,81832,33.0,9999.0,0.0
83030-83090-1,line,83030,83090,33.0,9999.0,0.0
83031-83090-1,line,83031,83090,33.0,9999.0,0.0
83031-83090-2,line,83031,83090,33.0,9999.0,0.0
83031-83091-1,line,83031,83091,33.0,9999.0,0.0
83090-83092-1,line,83090,83092,33.0,9999.0,0.0
83530-83590-1,line,83530,83590,33.0,9999.0,0.0
83531-83590-1,line,83531,83590,33.0,9999.0,0.0
83531-83590-2,line,83531,83590,33.0,9999.0,0.0
83531-83592-1,line,83531,83592,33.0,9999.0,0.0
83590-83591-1,line,83590,83591,33.0,9999.0,0.0
84030-84090-1,line,84030,84090,33.0,218.0,0.0
84090-84095-1,line,84090,84095,33.0,9999.0,0.0
84090-84096-1,line,84090,84096,33.0,9999.0,0.0
84090-84097-1,line,84090,84097,33.0,9999.0,0.0
84430-84490-1,line,84430,84490,33.0,9999.0,0.0
84490-84491-1,line,84490,84491,33.0,9999.0,0.0
84530-84590-1,line,84530,84590,33.0,9999.0,0.0
85530-85590-1,line,85530,85590,33.0,9999.0,0.0
85590-85591-1,line,85590,85591,33.0,9999.0,0.0
85590-85592-1,line,85590,85592,33.0,9999.0,0.0
85590-85592-2,line,85590,85592,33.0,9999.0,0.0
85590-85593-1,line,85590,85593,33.0,9999.0,0.0
86330-86332-1,line,86330,86332,33.0,9999.0,0.0
86530-86590-1,line,86530,86590,33.0,9999.0,0.0
87530-87590-1,line,87530,87590,33.0,9999.0,0.0
87531-87584-1,line,87531,87584,33.0,9999.0,0.0
87532-87580-1,line,87532,87580,33.0,9999.0,0.0
87533-87582-1,line,87533,87582,33.0,9999.0,0.0
87534-87583-1,line,87534,87583,33.0,9999.0,0.0
87535-87581-1,line,87535,87581,33.0,9999.0,0.0
87535-87581-2,line,87535,87581,33.0,9999.0,0.0
87535-87590-1,line,87535,87590,33.0,9999.0,0.0
87535-87590-2,line,87535,87590,33.0,9999.0,0.0
87580-87590-1,line,87580,87590,33.0,9999.0,0.0
87580-87591-1,line,87580,87591,33.0,9999.0,0.0
87581-87593-1,line,87581,87593,33.0,9999.0,0.0
87582-87590-1,line,87582,87590,33.0,9999.0,0.0
87582-87594-1,line,87582,87594,33.0,9999.0,0.0
87583-87584-1,line,87583,87584,33.0,9999.0,0.0
87583-87590-1,line,87583,87590,33.0,9999.0,0.0
87584-87595-1,line,87584,87595,33.0,9999.0,0.0
87590-87592-1,line,87590,87592,33.0,9999.0,0.0
87590-87596-1,line,87590,87596,33.0,9999.0,0.0
87930-87991-1,line,87930,87991,33.0,105.0,0.0
87930-87992-1,line,87930,87992,33.0,9999.0,0.0
87930-87993-1,line,87930,87993,33.0,9999.0,0.0
87930-87994-1,line,87930,87994,33.0,9999.0,0.0
87930-87995-1,line,87930,87995,33.0,9999.0,0.0
88530-88539-2,line,88530,88539,33.0,211.0,0.0
89201-89202-1,line,89201,89202,20.0,100.0,0.0
89231-89232-1,line,89231,89232,33.0,33.2,0.0
89231-89232-2,line,89231,89232,33.0,33.2,0.0
89530-89590-1,line,89530,89590,33.0,9999.0,0.0
89531-89535-1,line,89531,89535,33.0,9999.0,0.0
89531-89582-1,line,89531,89582,33.0,9999.0,0.0
89531-89590-1,line,89531,89590,33.0,9999.0,0.0
89532-89582-1,line,89532,89582,33.0,9999.0,0.0
89533-89580-1,line,89533,89580,33.0,9999.0,0.0
89534-89581-1,line,89534,89581,33.0,9999.0,0.0
89535-89590-1,line,89535,89590,33.0,9999.0,0.0
89580-89581-1,line,89580,89581,33.0,9999.0,0.0
89580-89590-1,line,89580,89590,33.0,9999.0,0.0
89581-89591-1,line,89581,89591,33.0,9999.0,0.0
89582-89583-1,line,89582,89583,33.0,9999.0,0.0
89583-89592-1,line,89583,89592,33.0,9999.0,0.0
89583-89593-1,line,89583,89593,33.0,9999.0,0.0
90230-90231-1,line,90230,90231,33.0,9999.0,0.0
90230-90232-1,line,90230,90232,33.0,9999.0,0.0
90230-90233-1,line,90230,90233,33.0,9999.0,0.0
90230-90234-1,line,90230,90234,33.0,9999.0,0.0
90230-90235-1,line,90230,90235,33.0,9999.0,0.0
90230-90237-1,line,90230,90237,33.0,9999.0,0.0
90530-90540-1,line,90530,90540,33.0,9999.0,0.0
T2561-10-2,transformer,2561,10,110.0,9999.0,0.0
T3781-10-1,transformer,3781,10,110.0,9999.0,0.0
T2561-11-1,transformer,2561,11,110.0,9999.0,0.0
T3781-11-2,transformer,3781,11,110.0,9999.0,0.0
T3861-13-2,transformer,3861,13,110.0,9999.0,0.0
T4651-13-2,transformer,4651,13,110.0,9999.0,0.0
T2551-14-2,transformer,2551,14,110.0,9999.0,0.0
T3081-14-1,transformer,3081,14,110.0,9999.0,0.0
T3081-15-3,transformer,3081,15,110.0,9999.0,0.0
T3871-15-1,transformer,3871,15,110.0,9999.0,0.0
T1021-10204-1,transformer,1021,10204,110.0,9999.0,0.0
T1021-10205-2,transformer,1021,10205,110.0,9999.0,0.0
T1021-10271-1,transformer,1021,10271,110.0,9999.0,0.0
T1021-10272-2,transformer,1021,10272,110.0,9999.0,0.0
T1021-10273-3,transformer,1021,10273,110.0,9999.0,0.0
T1021-10274-4,transformer,1021,10274,110.0,9999.0,0.0
T1041-10401-1,transformer,1041,10401,110.0,9999.0,0.0
T1042-10471-1,transformer,1042,10471,220.0,9999.0,0.0
T1052-10472-1,transformer,1052,10472,220.0,9999.0,0.0
T1052-10473-1,transformer,1052,10473,220.0,9999.0,0.0
T1061-10602-1,transformer,1061,10602,110.0,9999.0,0.0
T1061-10604-1,transformer,1061,10604,110.0,9999.0,0.0
T1062-10474-1,transformer,1062,10474,220.0,9999.0,0.0
T1081-10801-1,transformer,1081,10801,110.0,9999.0,0.0
T1091-10901-1,transformer,1091,10901,110.0,9999.0,0.0
T1091-10901-2,transformer,1091,10901,110.0,9999.0,0.0
T1121-11201-1,transformer,1121,11201,110.0,9999.0,0.0
T1121-11201-2,transformer,1121,11201,110.0,9999.0,0.0
T1121-11204-1,transformer,1121,11204,110.0,9999.0,0.0
T1121-11204-2,transformer,1121,11204,110.0,9999.0,0.0
T1131-11302-1,transformer,1131,11302,110.0,120.0,0.0
T1141-11404-1,transformer,1141,11404,110.0,9999.0,0.0
T1141-11404-2,transformer,1141,11404,110.0,9999.0,0.0
T1201-12001-1,transformer,1201,12001,110.0,9999.0,0.0
T1201-12001-2,transformer,1201,12001,110.0,9999.0,0.0
T1211-12101-1,transformer,1211,12101,110.0,110.0,0.0
T1221-12201-1,transformer,1221,12201,110.0,9999.0,0.0
T1221-12201-2,transformer,1221,12201,110.0,9999.0,0.0
T1231-12302-1,transformer,1231,12302,110.0,70.0,0.0
T1251-12502-1,transformer,1251,12502,110.0,35.0,0.0
T1251-12504-1,transformer,1251,12504,110.0,9999.0,0.0
T1251-12514-1,transformer,1251,12514,110.0,9999.0,0.0
T1271-12702-1,transformer,1271,12702,110.0,9999.0,0.0
T1271-12702-2,transformer,1271,12702,110.0,9999.0,0.0
T1281-12804-1,transformer,1281,12804,110.0,9999.0,0.0
T1301-13001-1,transformer,1301,13001,110.0,9999.0,0.0
T1301-13001-2,transformer,1301,13001,110.0,9999.0,0.0
T1311-13114-1,transformer,1311,13114,110.0,9999.0,0.0
T1311-68272-2,transformer,1311,68272,110.0,9999.0,0.0
T1321-13204-1,transformer,1321,13204,110.0,9999.0,0.0
T1331-13302-1,transformer,1331,13302,110.0,9999.0,0.0
T1331-13302-2,transformer,1331,13302,110.0,9999.0,0.0
T1331-13303-1,transformer,1331,13303,110.0,9999.0,0.0
T1341-13404-1,transformer,1341,13404,110.0,9999.0,0.0
