bus,bus_name,v_nom,parent,parent_name,x_to_parent,runner_up,runner_up_name,x_to_runner_up,attachments,margin
68181,W_GLENCARB_P,0.69,5274,CAUTEEN,1.07883,,,,1,
49422,SHBG,10.5,star:4942-4941-49422-2,star point,0.007499999999999993,,,,1,
52614,TRIEN,38.0,52610,TRIEN,0.338,,,,1,
52624,TRIEN,38.0,52610,TRIEN,0.48240000000000005,,,,1,
52632,TOURNAFULLA,20.0,52610,TRIEN,0.8428,,,,1,
52634,TOURNAFULLA,38.0,52610,TRIEN,0.5128,,,,1,
52642,KNOCKAWARRIG,20.0,52610,TRIEN,0.8428,,,,1,
52644,KNOCKAWARRIG,38.0,52610,TRIEN,0.5128,,,,1,
52675,W_KNOCKAWA,0.66,52610,TRIEN,1.0718,,,,1,
52676,W_TOURNAFU,0.69,52610,TRIEN,1.1298000000000001,,,,1,
10272,HY_ARDNG2,10.5,1021,ARDNACRUSHA,0.3752,,,,1,
30822,INCH2,10.5,star:3082-3081-30822-2,star point,0.007500000000000003,,,,1,
19002,TULLOW,20.0,1901,CARLOW,1.24615,,,,1,
19004,HY_CARLOW,38.0,1901,CARLOW,0.355,,,,1,
19014,TULLOW,38.0,1901,CARLOW,0.58032,,,,1,
19071,CRONELEA UPP,20.0,1901,CARLOW,1.51432,,,,1,
19072,CRONELEA,20.0,1901,CARLOW,1.6111499999999999,,,,1,
19073,GORTAHILE,20.0,1901,CARLOW,0.955,,,,1,
19081,W_CRONELEA,0.69,1901,CARLOW,3.37732,,,,1,
19082,W_CRONELEA,0.69,1901,CARLOW,4.30832,,,,1,
19083,W_CRONELEA,0.4,1901,CARLOW,2.40415,,,,1,
19084,W_CRONELEA,0.4,1901,CARLOW,2.80115,,,,1,
19085,W_GORTAHIL,0.66,1901,CARLOW,1.212,,,,1,
19086,BILBAO,20.0,1901,CARLOW,1.155,,,,1,
19087,COPPENAGH,20.0,1901,CARLOW,2.04615,,,,1,
32404,KILTEEL,38.0,3241,KILTEEL,0.338,,,,1,
32405,KILTEEL,38.0,3241,KILTEEL,0.3381,,,,1,
17802,CASTLEFARM,20.0,1781,CASTLEFARM,0.27,17810,CASTLEFARM,0.27,2,1.0
18304,SCREEB,38.0,1831,SCREEB,0.4,,,,1,
18312,CLIFDEN,20.0,1831,SCREEB,2.4,,,,1,
18322,ROSSAVEEL,20.0,1831,SCREEB,2.4932,,,,1,
18372,W_ROSSAVEEL,0.69,1831,SCREEB,3.6931999999999996,,,,1,
75530,COOL3,33.0,75510,COOL1-,0.2559,,,,1,
75590,RENEW_CO,33.0,75510,COOL1-,0.256,,,,1,
75591,BIO_MAYD,33.0,75510,COOL1-,0.2561,,,,1,
18601,BOYLE,10.0,1861,CARRICK ON S,2.29105,,,,1,
18602,MOHILL,20.0,1861,CARRICK ON S,2.1121,,,,1,
18604,CARRICK ON S,38.0,1861,CARRICK ON S,0.4,,,,1,
18611,CASTLEREA,10.0,1861,CARRICK ON S,3.6496999999999997,,,,1,
18614,BOYLE,38.0,1861,CARRICK ON S,0.7976000000000001,,,,1,
18624,CASTLEREA,38.0,1861,CARRICK ON S,1.2497,,,,1,
18634,MOHILL,38.0,1861,CARRICK ON S,0.9121,,,,1,
51771,TYNAGH,15.75,5172,TYNAGH,0.0796,,,,1,
51772,TYNAGH,15.0,5172,TYNAGH,0.14020000000000002,,,,1,
star:5172-51771-51772-1,star point,,5172,TYNAGH,0.018100000000000005,,,,1,
21404,DUNGARVAN,38.0,2141,DUNGARVAN,0.4,,,,1,
21412,DUNGARVAN,20.0,2141,DUNGARVAN,1.3906969999999998,,,,1,
21414,DUNGARVAN,38.0,2141,DUNGARVAN,0.4567,,,,1,
21422,DUNGARVAN,20.0,2141,DUNGARVAN,2.265697,,,,1,
21481,DRUMROE EAST,20.0,2141,DUNGARVAN,1.6,,,,1,
21482,POULBAUTIA,20.0,2141,DUNGARVAN,1.6,,,,1,
21483,KILCANNON,20.0,2141,DUNGARVAN,1.6,,,,1,
