name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse,coordinate_source,has_coordinates
1251,110.0,-9.240483,52.7756037,1.08593,PQ,,0,BOOLTIAGH,BOOLTIAGH,1.0,4.0,4.0,IE,0.3591,geocoded,True
1271,110.0,-6.4401389,53.5454415,1.04784,PQ,,0,BALTRASNA,BALTRASNA,1.0,7.0,7.0,IE,-9.5777,geocoded,True
1281,110.0,-9.4296621,51.7239932,1.06049,PQ,,0,BALLYLICKEY,BALLYLICKEY,1.0,6.0,6.0,IE,3.9018,geocoded,True
1301,110.0,-6.0958665,52.9909581,1.06382,PQ,,0,BALLYBEG,BALLYBEG,1.0,9.0,9.0,IE,-5.2456,geocoded,True
1311,110.0,-9.2855811,52.2145657,1.05189,PQ,,0,CORDAL,CORDAL,1.0,5.0,5.0,IE,6.1889,geocoded,True
1321,110.0,-6.8812414,53.2886399,1.04744,PQ,13271-1,0,BLAKE,BLAKE,1.0,11.0,11.0,IE,-7.8502,geocoded,True
1331,110.0,-6.5335903,53.444432,1.06126,PQ,,0,BLUNDELSTOWN,BLUNDELSTOWN,1.0,11.0,11.0,IE,-8.3992,geocoded,True
1341,110.0,-8.2634291,54.7189369,1.0841,PQ,13434-10,0,BINBANE,BINBANE,1.0,1.0,1.0,IE,-19.8123,geocoded,True
1351,110.0,-6.7752554,53.1859251,1.05099,PQ,,0,BARODA,BARODA,1.0,11.0,11.0,IE,-8.0025,geocoded,True
1361,110.0,-7.5207213,52.361399,1.0568,PQ,,0,BALLYDINE,BALLYDINE,1.0,8.0,8.0,IE,-1.4674,geocoded,True
1371,110.0,-6.3698501,53.4042822,1.05027,PQ,,0,BARNAGEERAGH,BARNAGEERAGH,1.0,11.0,11.0,IE,-7.9021,geocoded,True
1381,110.0,-8.3442652,51.8284805,1.06307,PQ,,0,BARNAHELY,BARNAHELY,1.0,10.0,10.0,IE,8.1194,geocoded,True
1401,110.0,-9.5787377,54.1205007,1.17834,PQ,,0,BELLACORICK,BELLACORICK,1.0,2.0,2.0,IE,-15.4333,geocoded,True
1411,110.0,-6.3674201,53.2968693,1.06648,PQ,,0,AIRTON,AIRTON,1.0,11.0,11.0,IE,-7.7209,geocoded,True
1421,110.0,-6.1746313,53.2914859,1.06377,PQ,,0,BLACKROCK,BLACKROCK,1.0,11.0,11.0,IE,-9.1648,geocoded,True
1431,110.0,-7.342814,52.7988347,1.05091,PQ,,0,BALLYRAGGET,BALLYRAGGET,1.0,9.0,9.0,IE,-6.0675,geocoded,True
1441,110.0,-8.733195,51.7739278,1.06379,PQ,,0,BANDON,BANDON,1.0,6.0,6.0,IE,5.0242,geocoded,True
1451,110.0,-6.3610231,53.4034934,1.05031,PQ,,0,CLOGHRAN,CLOGHRAN,1.0,11.0,11.0,IE,-7.8945,geocoded,True
1461,110.0,-8.2546807,52.0958683,1.05724,PQ,,0,BARRYMORE,BARRYMORE,1.0,8.0,8.0,IE,3.69,geocoded,True
1471,110.0,-6.2025287,53.409766,1.04889,PQ,,0,BELCAMP,BELCAMP,1.0,11.0,11.0,IE,-6.2051,geocoded,True
1472,220.0,-6.2025287,53.409766,1.05954,PQ,,0,BELCAMP,BELCAMP,1.0,11.0,11.0,IE,-2.2955,geocoded,True
1481,110.0,-7.1703735,52.2286078,1.05307,PQ,,0,BUTLERSTOWN,BUTLERSTOWN,1.0,12.0,12.0,IE,-0.3921,geocoded,True
1491,110.0,-6.4407825,53.6475064,1.0472,PQ,,0,DEENES,DEENES,1.0,7.0,7.0,IE,-10.4496,geocoded,True
1501,110.0,-8.7045456,51.7851436,1.06368,PQ,,0,BRINNY,BRINNY,1.0,6.0,6.0,IE,5.0161,geocoded,True
1511,110.0,-9.4380864,52.3305984,1.09435,PQ,,0,CLOGHBOOLA,CLOGHBOOLA,1.0,5.0,5.0,IE,4.716,geocoded,True
1521,110.0,-7.2520289,53.262337,1.06278,PQ,,0,BOGTOWN,BOGTOWN,1.0,11.0,11.0,IE,-6.3914,neighbour mean,False
1522,220.0,-6.426741,53.4167869,1.06158,PQ,,0,CLONEE,CLONEE,1.0,11.0,11.0,IE,-2.5325,geocoded,True
1531,110.0,-8.213100449999999,51.87816345,1.05528,PQ,,0,BALLYADAM,BALLYADAM,1.0,9.0,9.0,IE,7.2996,neighbour mean,False
1541,110.0,-6.2725523,52.6502648,1.06888,PQ,,0,BANOGE,BANOGE,1.0,9.0,9.0,IE,-3.7336,geocoded,True
1551,110.0,-8.9086408,52.0384891,1.0654,PQ,,0,BOGGERAGH,BOGGERAGH,1.0,5.0,5.0,IE,5.8063,geocoded,True
1561,110.0,-6.4525519,53.32992,1.05441,PQ,,0,COOLDERRIG,COOLDERRIG,1.0,11.0,11.0,IE,-9.3056,geocoded,True
1571,110.0,-8.2688178,55.0566404,1.07477,PQ,,0,ARDNAGAPPARY,ARDNAGAPPARY,1.0,1.0,1.0,IE,-21.563,geocoded,True
1581,110.0,-6.3003671,53.372675,1.0571,PQ,,0,CABRA,CABRA,1.0,11.0,11.0,IE,-5.451,geocoded,True
1601,110.0,-8.9141082,51.938191,1.06459,PQ,,0,CLASHAVOON,CLASHAVOON,1.0,5.0,5.0,IE,5.8151,geocoded,True
1602,220.0,-8.9141082,51.938191,1.06091,PQ,,0,CLASHAVOON,CLASHAVOON,1.0,5.0,5.0,IE,7.3633,geocoded,True
1611,110.0,-9.2997624,51.9841297,1.06735,PQ,,0,CLONKEEN,CLONKEEN,1.0,5.0,5.0,IE,3.1422,geocoded,True
1621,110.0,-8.6360252,51.8859966,1.05936,PQ,,0,COOLROE,COOLROE,1.0,10.0,10.0,IE,6.0046,geocoded,True
1631,110.0,-8.197639,54.1988681,1.11803,PQ,,0,CORDERRY,CORDERRY,1.0,1.0,1.0,IE,-13.6194,geocoded,True
1641,110.0,-8.8534296,53.3081124,1.12804,PQ,,0,CASHLA,CASHLA,1.0,2.0,2.0,IE,-4.5863,geocoded,True
1642,220.0,-8.8534296,53.3081124,1.09378,PQ,,0,CASHLA,CASHLA,1.0,2.0,2.0,IE,-1.336,geocoded,True
1651,110.0,-9.548026,52.3787738,1.09572,PQ,,0,CLAHANE,CLAHANE,1.0,5.0,5.0,IE,1.3133,geocoded,True
1661,110.0,-9.2692746,53.8665266,1.17227,PQ,,0,CASTLEBAR,CASTLEBAR,1.0,2.0,2.0,IE,-13.516,geocoded,True
1671,110.0,-7.092703,53.2901576,1.06,PQ,,0,KILCUMBER,KILCUMBER,1.0,11.0,11.0,IE,-5.0502,geocoded,True
1681,110.0,-8.8633008,51.8978487,1.06332,PQ,16873-3,0,CARRIGADROHI,CARRIGADROHI,1.0,6.0,6.0,IE,5.8036,geocoded,True
1691,110.0,-6.2060635,53.2702392,1.06117,PQ,,0,CENTRAL PARK,CENTRAL PARK,1.0,11.0,11.0,IE,-5.985,geocoded,True
