,32508-XX,54571-1,55074-1,70390-DP,71093-BR,84095-BA,84096-LR,84097-MR,90540-LH,87991-BR,87995-FR
20,0.006648135888538836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.004505748813444866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0013228711905228408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.001218029457861038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.001118671267026353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.004262104249374886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0014738062981080138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0010542797260054428,0.022808736427019992,0.011850681088028687,0.005422879958221293,0.003630049945695657,0.007295416454633432,0.007295416454633432,0.007295416454633432,0.003086640654269651,0.003630049945695657,0.003630049945695657
28,0.002215603721400216,0.049228123401707506,0.033418194685070644,0.03290491541744129,0.02315247936314599,0.03951046766669124,0.03951046766669124,0.03951046766669124,0.015019982278573442,0.02315247936314599,0.02315247936314599
29,0.002391838288580156,0.045680621428059495,0.035409452513604556,0.03655753647369257,0.029876971128014806,0.04858300906616155,0.04858300906616155,0.04858300906616155,0.01942130832165854,0.029876971128014806,0.029876971128014806
30,0.0025753591869513886,0.08060936316609445,0.070628862577078,0.05691617280151784,0.04402096197573991,0.06748712626937596,0.06748712626937596,0.06748712626937596,0.03788638238306388,0.04402096197573991,0.04402096197573991
31,0.00431317339430098,0.05761107547815602,0.04720899855685954,0.0539125360892297,0.05542074788542604,0.07068906223245887,0.07068906223245887,0.07068906223245887,0.05758788246948225,0.05542074788542604,0.05542074788542604
32,0.0038108870792237476,0.0667084155086752,0.06925238939233293,0.07108115708300658,0.0679735344020615,0.10414641290694195,0.10414641290694195,0.10414641290694195,0.07651976050688125,0.0679735344020615,0.0679735344020615
33,0.002572668243814842,0.07748485259924429,0.09141855182894129,0.0327365184407342,0.03143577195628822,0.048842451006180676,0.048842451006180676,0.048842451006180676,0.0367984761929211,0.03143577195628822,0.03143577195628822
34,0.002582702474985195,0.018702115758787937,0.03188861590896557,0.008912974407031557,0.014201276326381377,0.019420097611528638,0.019420097611528638,0.019420097611528638,0.012318185880792613,0.014201276326381377,0.014201276326381377
35,0.005524288720487496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.004273947879351428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0020314301973516145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0019797943014473137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0012417075658868936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0011129058434465528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0011103038515643128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0009251867955972997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.001629597890631016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0021115325975461924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0014592545903441122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0019168905226854905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0017374630609381843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0023517894956242283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.01056971011246972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.012767407062835608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.028272502434662082,0.1211617858935216,0.20336729851996013,0.030770664106510658,0.011870458135688992,0.08581069779663192,0.08581069779663192,0.08581069779663192,0.1580846152840282,0.011870458135688992,0.011870458135688992
