name,bus,control,p_nom,p_min_pu,q_set,sign,carrier,marginal_cost,psse_bus,psse_bus_name,aggregated,p_set_tytfs
shed 1871,1871,PQ,34.575,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1881,1881,PQ,32.385,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1901,1901,PQ,98.31,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1921,1921,PQ,24.660000000000004,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1951,1951,PQ,25.53,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1961,1961,PQ,43.065,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2021,2021,PQ,20.16,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2041,2041,PQ,50.114999999999995,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2072,2072,PQ,100.39500000000001,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2101,2101,PQ,90.07499999999999,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2121,2121,PQ,39.735,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2141,2141,PQ,69.24,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2161,2161,PQ,42.615,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2181,2181,PQ,134.625,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2225,2225,PQ,52.980000000000004,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2241,2241,PQ,29.160000000000004,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2251,2251,PQ,14.504999999999999,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2301,2301,PQ,15.120000000000001,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2361,2361,PQ,97.35000000000001,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2421,2421,PQ,187.32000000000002,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2481,2481,PQ,89.205,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2541,2541,PQ,75.705,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2571,2571,PQ,83.80499999999999,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2591,2591,PQ,22.725,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2681,2681,PQ,17.13,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2701,2701,PQ,103.875,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2721,2721,PQ,101.535,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2741,2741,PQ,29.73,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2761,2761,PQ,86.58,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2781,2781,PQ,134.505,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2821,2821,PQ,50.16,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2861,2861,PQ,94.2,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2881,2881,PQ,21.54,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2941,2941,PQ,27.96,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 2951,2951,PQ,14.504999999999999,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3081,3081,PQ,74.97,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3091,3091,PQ,83.82000000000001,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3101,3101,PQ,38.775000000000006,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3221,3221,PQ,127.81500000000001,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3241,3241,PQ,51.150000000000006,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3261,3261,PQ,77.01,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3271,3271,PQ,4.455,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3301,3301,PQ,61.980000000000004,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3321,3321,PQ,35.49,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3352,3352,PQ,175.27499999999998,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3381,3381,PQ,15.285,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3401,3401,PQ,15.99,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3431,3431,PQ,44.415,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3501,3501,PQ,26.79,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3541,3541,PQ,121.10999999999999,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3561,3561,PQ,52.275000000000006,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3581,3581,PQ,99.12,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3601,3601,PQ,34.815,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3651,3651,PQ,27.0,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3681,3681,PQ,20.97,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3751,3751,PQ,27.57,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3761,3761,PQ,37.769999999999996,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3781,3781,PQ,166.515,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3801,3801,PQ,64.44,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3821,3821,PQ,78.33,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3861,3861,PQ,12.465,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3871,3871,PQ,104.595,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3881,3881,PQ,27.555,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3961,3961,PQ,29.009999999999998,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 3981,3981,PQ,32.25,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4001,4001,PQ,73.965,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4021,4021,PQ,35.19,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4041,4041,PQ,40.32,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4061,4061,PQ,11.7,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4081,4081,PQ,28.695,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4101,4101,PQ,48.0,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4111,4111,PQ,64.5,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4201,4201,PQ,69.67500000000001,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4211,4211,PQ,32.7,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4221,4221,PQ,100.53,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4261,4261,PQ,37.32,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4281,4281,PQ,16.665,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4341,4341,PQ,0.44999999999999996,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4361,4361,PQ,39.0,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4401,4401,PQ,42.525000000000006,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4481,4481,PQ,65.775,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4491,4491,PQ,21.27,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4501,4501,PQ,27.0,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4511,4511,PQ,23.91,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4621,4621,PQ,156.78000000000003,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4651,4651,PQ,98.505,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4681,4681,PQ,62.80499999999999,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4691,4691,PQ,19.200000000000003,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4701,4701,PQ,59.265,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4741,4741,PQ,13.695,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4901,4901,PQ,3.435,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4951,4951,PQ,68.76,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4961,4961,PQ,81.765,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 4981,4981,PQ,81.285,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5001,5001,PQ,36.585,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5031,5031,PQ,15.99,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5061,5061,PQ,34.019999999999996,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5091,5091,PQ,23.040000000000003,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5111,5111,PQ,53.894999999999996,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5131,5131,PQ,11.279999999999998,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5181,5181,PQ,106.125,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5221,5221,PQ,17.4,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5231,5231,PQ,16.575000000000003,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5261,5261,PQ,33.705,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5281,5281,PQ,76.86,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5301,5301,PQ,40.125,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5321,5321,PQ,51.015,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5331,5331,PQ,5.9399999999999995,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5341,5341,PQ,24.674999999999997,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5361,5361,PQ,30.105,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5381,5381,PQ,31.68,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5441,5441,PQ,87.03000000000002,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5481,5481,PQ,13.5,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5501,5501,PQ,85.245,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 5521,5521,PQ,40.71,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 13810,13810,PQ,7.17,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 17010,17010,PQ,25.56,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 18010,18010,PQ,91.05000000000001,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 22811,22811,PQ,43.709999999999994,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 70010,70010,PQ,31.095,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 70510,70510,PQ,4.635,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 70520,70520,PQ,13.905,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 71011,71011,PQ,48.06,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 71012,71012,PQ,47.849999999999994,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 71511,71511,PQ,59.760000000000005,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 72512,72512,PQ,85.08,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 73012,73012,PQ,69.225,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 74011,74011,PQ,85.05000000000001,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 74712,74712,PQ,72.58500000000001,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 75010,75010,PQ,58.92,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 75510,75510,PQ,84.975,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 75520,75520,PQ,7.74,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 75810,75810,PQ,83.265,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 76011,76011,PQ,92.07000000000002,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 76511,76511,PQ,65.265,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 76513,76513,PQ,67.47,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 77010,77010,PQ,123.22500000000001,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 77511,77511,PQ,142.64999999999998,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 78511,78511,PQ,51.765,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 79010,79010,PQ,80.05499999999999,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 80011,80011,PQ,46.964999999999996,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 82020,82020,PQ,37.14,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 82511,82511,PQ,68.355,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 83012,83012,PQ,64.815,0.0,0.0,1.0,load shedding,10000.0,,,,
