group_id,region,group_name,context,station,pdf_page
ROI-NW/7,ROI-NW,North West Constraint Group 7 Corderry to Srananagh Flows (Retired),intact,Garvagh,24
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Ardnacrusha,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Knockalough,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Booltiagh,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Lisheen,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Buffy,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Moneypoint,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Castlebar,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Moy,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Cauteen,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Rathkeale,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Corderry,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Salthill,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Cunghill,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Sliabh Bawn,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Dallow,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Slieve Callan,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Dalton,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Sligo,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Derrybrien,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Srahnakilly,26
