name,bus,carrier,p_set,q_set,psse_bus,psse_bus_name,aggregated
18102-I,18102,AC,37.92,2.4,18102,CLUTTERLAND,False
18204-LD,18204,AC,11.89,-1.11,18204,CLOON,False
18304-LD,18304,AC,7.0,-2.85,18304,SCREEB,False
18402-LD,18402,AC,4.17,-0.4,18402,CRANE,False
18404-LD,18404,AC,7.54,-1.63,18404,CRANE,False
18504-LD,18504,AC,6.0,0.0,18504,CHERRYWOOD,False
18604-LD,18604,AC,9.02,-0.02,18604,CARRICK ON S,False
18701-LD,18701,AC,21.56,1.63,18701,COLLEGE PARK,False
18804-LD,18804,AC,5.74,-0.64,18804,CHARLEVILLE,False
19004-LD,19004,AC,22.29,-6.25,19004,HY_CARLOW,False
19204-LD,19204,AC,4.0,0.05,19204,COW_CROSS,False
19504-LD,19504,AC,9.66,-0.69,19504,CARROWBEG,False
19601-LD,19601,AC,14.48,1.85,19601,CASTLEVIEW,False
20201-LD,20201,AC,10.87,3.57,20201,CITY WEST,False
20402-LD,20402,AC,11.42,1.21,20402,CORDUFF,False
20701-I,20701,AC,66.93,3.0,20701,CRUISERATH,False
21004-LD,21004,AC,18.93,-0.18,21004,DUNDALK,False
21204-LD,21204,AC,9.27,0.2,21204,DRUMLINE,False
21404-LD,21404,AC,14.88,-2.27,21404,DUNGARVAN,False
21604-LD,21604,AC,10.27,0.01,21604,DOON,False
21804-LD,21804,AC,29.61,-7.02,21804,DRYBRIDGE,False
22208-LD,22208,AC,12.93,-1.78,22208,DUNMANWAY,False
22404-LD,22404,AC,4.66,-1.1,22404,DALLOW,False
22501-LD,22501,AC,7.0,2.31,22501,DARDISTOWN,False
22804-LD,22804,AC,10.91,-1.5,22804,HY_DALTON,False
23002-LD,23002,AC,3.12,-0.05,23002,DUNFIRTH,False
23601-LD,23601,AC,4.0,0.5,23601,ENNIS,False
23604-LD,23604,AC,12.59,-0.02,23604,ENNIS,False
24202-I,24202,AC,124.88,5.59,24202,CORKAGH,False
24804-LD,24804,AC,19.69,0.16,24804,FASSAROE,False
25604-LD,25604,AC,20.56,-2.18,25604,FINGLAS,False
25901-LD,25901,AC,6.09,-0.21,25901,FORTUNESTOWN,False
26802-I,26802,AC,11.42,2.83,26802,GILRA,False
27004-LD,27004,AC,27.85,9.0,27004,GLASMORE,False
27204-LD,27204,AC,24.15,-0.06,27204,GRIFFINRATH,False
27404-LD,27404,AC,6.87,0.21,27404,GREAT ISLAND,False
27604-LD,27604,AC,22.59,2.57,27604,GRANGE,False
27801-LD,27801,AC,3.91,0.0,27801,GALWAY,False
