name,bus,carrier,p_set,q_set,psse_bus,psse_bus_name,aggregated
14004-LD,14004,AC,5.91,-0.49,14004,BELLACORICK,False
14102-I,14102,AC,59.94,2.68,14102,AIRTON,False
14204-LD,14204,AC,70.2,20.08,14204,BLACKROCK,False
14304-LD,14304,AC,26.51,5.76,14304,BALLYRAGGET,False
14401-LD,14401,AC,13.67,1.65,14401,BANDON,False
14404-LD,14404,AC,38.9,5.49,14404,HY_BANDON,False
14502-I,14502,AC,71.0,9.5,14502,CLOGHRAN,False
14604-LD,14604,AC,35.34,2.53,14604,BARRYMORE,False
14804-LD,14804,AC,47.5,4.9,14804,BUTLERSTOWN,False
15001-I,15001,AC,3.95,0.98,15001,BRINNY,False
15202-I,15202,AC,134.72,8.53,15202,CLONEE,False
15402-LD,15402,AC,8.69,0.0,15402,BANOGE,False
15602-I,15602,AC,38.0,0.0,15602,COOLDERRIG,False
15704-LD,15704,AC,10.86,2.17,15704,ARDNAGAPPARY,False
15801-LD,15801,AC,14.84,4.29,15801,CABRA,False
16202-LD,16202,AC,12.23,0.0,16202,COOLROE,False
16604-LD,16604,AC,33.53,2.67,16604,CASTLEBAR,False
16901-LD,16901,AC,10.86,-0.55,16901,CENTRAL PARK,False
17004-LD,17004,AC,19.14,4.42,17004,HY_CATH FALL,False
17204-LD,17204,AC,30.19,4.02,17204,CAHIR,False
17404-LD,17404,AC,76.04,3.12,17404,CARRICKMINES,False
17802-I,17802,AC,50.8,24.52,17802,CASTLEFARM,False
18001-LD,18001,AC,16.81,1.3,18001,COOKSTOWN,False
18004-LD,18004,AC,68.19,19.87,18004,COOKSTOWN,False
18101-I,18101,AC,121.0,13.23,18101,DARNDALE,False
18102-I,18102,AC,115.77,7.33,18102,CLUTTERLAND,False
18204-LD,18204,AC,30.68,4.56,18204,CLOON,False
18304-LD,18304,AC,22.74,0.71,18304,SCREEB,False
18402-LD,18402,AC,14.4,0.61,18402,CRANE,False
18404-LD,18404,AC,29.21,3.31,18404,CRANE,False
18504-LD,18504,AC,24.94,0.45,18504,CHERRYWOOD,False
18604-LD,18604,AC,33.4,2.39,18604,CARRICK ON S,False
18701-LD,18701,AC,25.9,0.9,18701,COLLEGE PARK,False
18804-LD,18804,AC,24.26,4.01,18804,CHARLEVILLE,False
19004-LD,19004,AC,73.63,6.51,19004,HY_CARLOW,False
19204-LD,19204,AC,18.47,0.88,19204,COW_CROSS,False
19504-LD,19504,AC,19.12,1.64,19504,CARROWBEG,False
19601-LD,19601,AC,32.25,2.87,19601,CASTLEVIEW,False
20201-LD,20201,AC,15.1,4.38,20201,CITY WEST,False
20402-LD,20402,AC,37.53,4.74,20402,CORDUFF,False
20701-I,20701,AC,171.83,7.69,20701,CRUISERATH,False
21004-LD,21004,AC,67.46,4.67,21004,DUNDALK,False
21204-LD,21204,AC,29.75,4.46,21204,DRUMLINE,False
21404-LD,21404,AC,51.86,5.29,21404,DUNGARVAN,False
21604-LD,21604,AC,31.92,3.73,21604,DOON,False
