name,bus,carrier,p_set,q_set,psse_bus,psse_bus_name,aggregated
36001-LD,3601,AC,8.47,1.12,36001,LIBERTY STRE,True
36503-I,3651,AC,18.0,0.0,36503,BARNAKYLE,True
36802-I,3681,AC,13.98,1.09,36802,AUNGIERSTOWN,True
37501-LD,3751,AC,7.1,-0.82,37501,MISERY HILL,True
37601-LD,3761,AC,10.33,-0.85,37601,MACE ESB,True
37602-I,3761,AC,4.58,0.55,37602,MACE IBM,True
38001-LD,3801,AC,8.51,1.45,38001,MIDLETON,True
38004-LD,3801,AC,15.68,1.55,38004,MIDLETON,True
38204-LD,3821,AC,17.36,2.66,38204,MEATHHILL,True
38601-LD,3861,AC,2.49,-0.5,38601,MILLTOWN,True
38701-LD,3871,AC,3.59,-0.7,38701,MILLTOWN,True
38804-LD,3881,AC,9.66,4.79,38804,MACROOM,True
39601-LD,3961,AC,4.34,0.0,39601,MARINA,True
39801-I,3981,AC,21.5,12.1,39801,MUNGRET,True
40001-LD,4001,AC,5.45,-0.57,40001,MULLINGAR,True
40004-LD,4001,AC,12.0,-2.73,40004,MULLINGAR,True
40204-LD,4021,AC,8.11,0.2,40204,MALLOW,True
40404-LD,4041,AC,13.53,-0.72,40404,MOY,True
40602-I,4061,AC,4.46,1.33,40602,MULLAGHARLIN,True
40602-LD,4061,AC,2.29,-0.49,40602,MULLAGHARLIN,True
40801-LD,4081,AC,7.33,0.62,40801,MONREAD,True
41002-I,4101,AC,32.0,6.21,41002,NEWBURY,True
41102-I,4111,AC,43.0,7.17,41102,BANCROFT,True
42004-LD,4201,AC,15.04,-1.3,42004,BIO_NEWBRIDG,True
42101-LD,4211,AC,10.79,-0.99,42101,NORTH QUAYS,True
42204-LD,4221,AC,17.77,2.27,42204,HY_NAVAN,True
42604-LD,4261,AC,11.41,2.0,42604,NENAGH,True
42802-I,4281,AC,11.11,2.63,42802,NANGOR,True
43604-LD,4361,AC,10.57,-1.7,43604,HY_OUGHTRAGH,True
44001-LD,4401,AC,7.79,-0.51,44001,POPPINTREE,True
44804-LD,4481,AC,15.61,-3.78,44804,PORTLAOISE,True
44901-LD,4491,AC,3.5,-0.8,44901,PELLETSTOWN,True
45001-I,4501,AC,18.0,5.9,45001,PLATIN,True
45101-LD,4511,AC,7.29,0.0,45101,POTTERY ROAD,True
46210-I,4621,AC,34.84,14.0,46210,RYEBROOK,True
46214-I,4621,AC,34.84,14.0,46214,RYEBROOK,True
46224-I,4621,AC,34.84,14.0,46224,RYEBROOK,True
46501-LD,4651,AC,7.16,2.34,46501,RINGSEND,True
46804-LD,4681,AC,19.0,-1.53,46804,RATHKEALE,True
46902-I,4691,AC,12.8,2.24,46902,OLDBRIDGE,True
47004-LD,4701,AC,10.0,-0.49,47004,RICHMOND,True
47402-I,4741,AC,9.13,1.43,47402,RINAWADE,True
49001-I,4901,AC,2.29,0.7,49001,SHELTON ABBE,True
49504-LD,4951,AC,13.61,-2.88,49504,SALTHILL,True
49604-LD,4961,AC,19.48,-0.41,49604,SHANKILL,True
49804-LD,4981,AC,19.66,-1.31,49804,HY_SLIGO,True
50004-LD,5001,AC,11.0,-0.23,50004,SOMERSET,True
50301-LD,5031,AC,3.5,-0.73,50301,STEPHENSTOWN,True
50604-LD,5061,AC,5.93,-0.01,50604,STRATFORD,True
50901-LD,5091,AC,4.84,-0.22,50901,SINGLAND,True
51101-I,5111,AC,13.97,0.88,51101,SNUGBOROUGH,True
51103-I,5111,AC,21.96,1.39,51103,SNUGBOROUGH,True
51301-LD,5131,AC,3.5,-0.39,51301,TANEY,True
51801-LD,5181,AC,6.24,0.0,51801,TRABEG,True
51804-LD,5181,AC,20.67,3.8,51804,TRABEG,True
52204-LD,5221,AC,3.8,1.6,52204,TULABRACK,True
52301-LD,5231,AC,5.49,-1.0,52301,TRINITY,True
52604-LD,5261,AC,6.38,-0.88,52604,TRIEN,True
52804-LD,5281,AC,15.1,-3.32,52804,TRALEE,True
53004-LD,5301,AC,10.42,-2.23,53004,THURLES,True
53204-LD,5321,AC,11.53,2.68,53204,THORNSBERRY,True
53302-I,5331,AC,3.96,0.56,53302,YELLOWMEADOW,True
53404-LD,5341,AC,7.09,0.81,53404,TONROE,True
53604-LD,5361,AC,6.29,1.12,53604,TRILLICK,True
53804-LD,5381,AC,10.53,1.29,53804,TIPPERARY,True
54404-LD,5441,AC,21.0,0.86,54404,HY_WATERFORD,True
54801-I,5481,AC,9.0,5.1,54801,WHITEGATE,True
55002-LD,5501,AC,3.09,-0.58,55002,WEXFORD,True
55004-LD,5501,AC,16.98,-0.79,55004,PV_WEXFORD,True
55201-LD,5521,AC,9.0,3.64,55201,WOLFE TONE,True
70030-NI,70010,AC,6.07,0.87,70030,AGHY3-,True
70513-HL,70520,AC,0.91,0.3,70513,BAFD_GA,True
70514-HL,70520,AC,0.91,0.3,70514,BAFD_GB,True
70515-HL,70520,AC,0.91,0.3,70515,BAFD_GC,True
70516-HL,70510,AC,0.91,0.3,70516,BAFD_GD,True
71031-NI,71011,AC,9.38,1.34,71031,BAME3T,True
71032-NI,71012,AC,9.34,1.33,71032,BAME3R,True
71530-NI,71511,AC,11.67,1.66,71530,BANB3-,True
72530-NI,72512,AC,16.61,2.37,72530,BNCH3-,True
74030-NI,74011,AC,11.31,1.61,74030,CARN3-,True
74730-NI,74712,AC,14.17,2.02,74730,CENT3-,True
75030-NI,75010,AC,11.5,1.64,75030,COLE3-,True
75515-HL,75510,AC,0.91,0.3,75515,GEN_COOL,True
75516-HL,75520,AC,1.51,0.5,75516,GEN_COOL,True
75530-I,75510,AC,19.95,6.5,75530,COOL3,True
75530-NI,75510,AC,9.84,1.4,75530,COOL3,True
75830-NI,75810,AC,16.26,2.32,75830,CREA3,True
76031-NI,76011,AC,17.98,2.56,76031,CREG3A,True
