name,bus,control,p_nom,p_min_pu,p_set,q_set,sign,carrier,marginal_cost,psse_bus,psse_bus_name,aggregated
32508-XX,32508,PV,10.0,0.0,0.0,-0.0,1.0,wind,0.0,32508.0,W_KNOCKNAGOU,False
33361-XX,33361,PV,100.0,0.0,0.0,-98.06,1.0,unknown,60.0,33361.0,STATCOM BALL,False
36971-1,36971,PV,55.0,0.4909090909090909,48.0,-10.0,1.0,unknown,60.0,36971.0,LAGHTANVACK,False
36971-2,36971,PV,55.0,0.4909090909090909,48.0,-10.0,1.0,unknown,60.0,36971.0,LAGHTANVACK,False
39472-SC,39472,PV,250.0,-0.01348,0.0,-250.0,1.0,unknown,60.0,39472.0,MNYPG2-P,False
49271-1,49271,PV,296.0,0.20270270270270271,281.0,-31.233,1.0,unknown,60.0,49271.0,SOUTHBANK,False
50274-14,50274,PV,150.0,0.3333333333333333,150.0,-29.916,1.0,unknown,60.0,50274.0,PBEGG4,False
50275-15,50275,PV,150.0,0.3333333333333333,150.0,-37.395,1.0,unknown,60.0,50275.0,PBEGG5,False
50573-3,50573,PV,81.0,0.48148148148148145,80.0,-11.301,1.0,unknown,60.0,50573.0,SEAL_ROCK,False
50574-4,50574,PV,81.0,0.48148148148148145,80.0,-11.301,1.0,unknown,60.0,50574.0,SEAL_ROCK,False
51478-1,51478,PV,296.0,0.20270270270270271,281.0,-112.0,1.0,unknown,60.0,51478.0,TARBG5,False
51771-CT,51771,PV,262.0,0.5916030534351145,262.0,-91.0,1.0,unknown,60.0,51771.0,TYNAGH,False
51772-ST,51772,PV,142.0,0.7816901408450704,142.0,-61.0,1.0,unknown,60.0,51772.0,TYNAGH,False
52071-1,52071,Slack,73.0,-1.0,-24.747,-6.532,1.0,unknown,60.0,52071.0,TURLG1,False
52072-2,52072,PV,73.0,-1.0,-24.655,-7.1,1.0,unknown,60.0,52072.0,TURLG2,False
52073-3,52073,PV,73.0,-1.0,-24.747,-6.532,1.0,unknown,60.0,52073.0,TURLG3,False
52074-4,52074,PV,73.0,-1.0,-24.655,-7.1,1.0,unknown,60.0,52074.0,TURLG4,False
53071-XX,53071,PV,30.0,0.0,0.0,-21.608,1.0,unknown,60.0,53071.0,THURLES STAT,False
70507-7,70507,PV,55.0,0.14545454545454545,55.0,5.109,1.0,unknown,60.0,70507.0,BAFDG7,False
70508-8,70508,PV,55.0,0.14545454545454545,55.0,5.109,1.0,unknown,60.0,70508.0,BAFDG8,False
70516-D,70516,PV,97.0,0.6701030927835051,97.0,9.73,1.0,unknown,60.0,70516.0,BAFD_GD,False
75013-1,75013,PV,100.0,-0.08,-3.325,-30.438,1.0,unknown,60.0,75013.0,COL_HISC,False
75508-8,75508,PV,53.0,0.1509433962264151,50.35,25.826,1.0,unknown,60.0,75508.0,COOLG8,False
75515-ST,75515,PV,166.0,0.6024096385542169,156.0,-4.88,1.0,unknown,60.0,75515.0,GEN_COOL,False
75516-GT,75516,PV,254.0,0.6299212598425197,194.0,69.632,1.0,unknown,60.0,75516.0,GEN_COOL,False
75524-SC,75524,PV,245.0,-0.0326530612244898,-3.088,-141.0,1.0,unknown,60.0,75524.0,SKRAFT_SC,False
86221 import,86221,Slack,500.0,0.0,,0.0,1.0,import,150.0,,,
86221 export,86221,PV,500.0,0.0,,0.0,-1.0,export,-0.0,,,
GB_EWIC import,GB_EWIC,Slack,530.0,0.0,,0.0,1.0,import,150.0,,,
GB_EWIC export,GB_EWIC,PV,530.0,0.0,,0.0,-1.0,export,-0.0,,,
GB_GREENLINK import,GB_GREENLINK,Slack,530.0,0.0,,0.0,1.0,import,150.0,,,
GB_GREENLINK export,GB_GREENLINK,PV,530.0,0.0,,0.0,-1.0,export,-0.0,,,
