,snapshot,objective,stores,generators
142,2030-01-20 04:00:00,1.0,1.0,1.0
143,2030-01-20 05:00:00,1.0,1.0,1.0
144,2030-01-20 06:00:00,1.0,1.0,1.0
145,2030-01-20 07:00:00,1.0,1.0,1.0
146,2030-01-20 08:00:00,1.0,1.0,1.0
147,2030-01-20 09:00:00,1.0,1.0,1.0
148,2030-01-20 10:00:00,1.0,1.0,1.0
149,2030-01-20 11:00:00,1.0,1.0,1.0
150,2030-01-20 12:00:00,1.0,1.0,1.0
151,2030-01-20 13:00:00,1.0,1.0,1.0
152,2030-01-20 14:00:00,1.0,1.0,1.0
153,2030-01-20 15:00:00,1.0,1.0,1.0
154,2030-01-20 16:00:00,1.0,1.0,1.0
155,2030-01-20 17:00:00,1.0,1.0,1.0
156,2030-01-20 18:00:00,1.0,1.0,1.0
157,2030-01-20 19:00:00,1.0,1.0,1.0
158,2030-01-20 20:00:00,1.0,1.0,1.0
159,2030-01-20 21:00:00,1.0,1.0,1.0
160,2030-01-20 22:00:00,1.0,1.0,1.0
161,2030-01-20 23:00:00,1.0,1.0,1.0
162,2030-01-21 00:00:00,1.0,1.0,1.0
163,2030-01-21 01:00:00,1.0,1.0,1.0
164,2030-01-21 02:00:00,1.0,1.0,1.0
165,2030-01-21 03:00:00,1.0,1.0,1.0
166,2030-01-21 04:00:00,1.0,1.0,1.0
167,2030-01-21 05:00:00,1.0,1.0,1.0
