osm,name,names,keys,power,operator,voltage_kv,max_kv,lat,lon
way/361725341,Knockumber (1) 110kV Substation,Knockumber (1) 110kV Substation,KNOCKUMBER 1,substation,EirGrid,110,110.0,53.6555904,-6.7147404
way/388154628,Kyleeragh 38 kV Substation,Kyleeragh 38 kV Substation,KYLEERAGH,substation,ESB Networks,38;20;10,38.0,52.8720039,-8.1858941
way/449453202,Kylemore Luas Substation,Kylemore Luas Substation,KYLEMORE LUAS,substation,Luas - Transdev Dublin Light Rail Limited,38,38.0,53.3271001,-6.3400399
way/1132970592,Kylemore Way BESS,Kylemore Way BESS,KYLEMORE WAY BESS,plant,ESB Generation and Wholesale Markets,,,53.3348194,-6.3399678
way/444457648,Lacka 38 kV Substation,Lacka 38 kV Substation,LACKA,substation,ESB Networks,38,38.0,52.1528261,-9.228122
way/1041855680,Laganside 33 kV Substation,Laganside 33 kV Substation,LAGANSIDE,substation,NIE Networks,33,33.0,54.5965911,-5.9174012
way/207728854,Lakyle North,Lakyle North,LAKYLE NORTH,substation,EirGrid,220,220.0,52.5984217,-9.3336443
way/342820729,Lanesborough 110kV Substation,Lanesborough 110kV Substation,LANESBOROUGH,substation,EirGrid,110,110.0,53.6750357,-7.9878234
way/441378857,Largan Hill 38 kV Substation,Largan Hill 38 kV Substation,LARGAN HILL,substation,ESB Networks,38,38.0,53.9460204,-8.5586281
relation/14139525,Largan Hill Wind Farm,Largan Hill Wind Farm,LARGAN HILL WIND FARM,plant,,,,53.9473806,-8.5602657
way/166764804,Larne 110kV Substation,Larne 110kV Substation,LARNE,substation,NIE Networks,110,110.0,54.847707,-5.8553653
way/440036015,Larne 33kV Substation,Larne 33kV Substation,LARNE,substation,NIE Networks,33,33.0,54.8461361,-5.8293179
way/864015879,Larne North 33kV Substation,Larne North 33kV Substation,LARNE NORTH,substation,NIE Networks,33,33.0,54.8640253,-5.8190353
relation/9969128,Laurelhill,Laurelhill,LAURELHILL,plant,BNRG Northern Power,,,54.4020527,-6.265651
way/1040820158,Laurelhill 33 kV Substation,Laurelhill 33 kV Substation,LAURELHILL,substation,NIE Networks,33,33.0,54.4011228,-6.2570623
way/445856438,Lawlesstown 38 kV Substation,Lawlesstown 38 kV Substation,LAWLESSTOWN,substation,ESB Networks,38,38.0,52.3706471,-7.7187794
relation/15262354,Leabeg Wind Farm,Leabeg Wind Farm,LEABEG WIND FARM,plant,Gaelectric,,,53.2330451,-7.7663156
way/1003529231,Leanamore Substation,Leanamore Substation,LEANAMORE,substation,ESB Networks,20,20.0,52.5598155,-9.4209368
relation/14350730,Leanamore Wind Farm,Leanamore Wind Farm,LEANAMORE WIND FARM,plant,SSE Renewables,,,52.5477638,-9.4262031
way/296383928,Leeson Street 38kV Substation,Leeson Street 38kV Substation,LEESON STREET,substation,ESB Networks,38,38.0,53.331056,-6.2530677
relation/14125776,Leitir Guingaid Leitir Peic Wind Farm,Leitir Guingaid Leitir Peic Wind Farm,LEITIR GUINGAID LEITIR PEIC WIND FARM,plant,Invis Energy,,,53.2859486,-9.2399346
way/1002115472,Leitir Gungaid 38 kV Substation,Leitir Gungaid 38 kV Substation,LEITIR GUNGAID,substation,ESB Networks,38,38.0,53.2834572,-9.2046698
way/33851588,Leixlip 38kV Substation,Leixlip 38kV Substation,LEIXLIP,substation,ESB Networks,38;10,38.0,53.3617032,-6.4843816
way/42742683,Leixlip Dam,Leixlip Dam,LEIXLIP DAM,plant,ESB Generation and Wholesale Markets,,,53.361167,-6.4901535
way/448791403,Leixlip Dam,Leixlip Dam,LEIXLIP DAM,substation,ESB Networks,38;10.5,38.0,53.361318,-6.4896503
way/1208368204,Lenalea 110 kV Substation,Lenalea 110 kV Substation,LENALEA,substation,EirGrid,110,110.0,54.9028813,-7.8642829
relation/15016715,Lenalea Wind Farm,Lenalea Wind Farm,LENALEA WIND FARM,plant,SSE Renewables,,,54.8964627,-7.8529544
way/1051116343,Lenamore 33 kV Substation,Lenamore 33 kV Substation,LENAMORE,substation,NIE Networks,33,33.0,55.0360667,-7.3205093
relation/14175090,Lenanavea Wind Farm,Lenanavea Wind Farm,LENANAVEA WIND FARM,plant,,,,53.9239792,-9.3504965
way/1053574779,Lendrum's Bridge 33kV Substation,Lendrum's Bridge 33kV Substation,LENDRUM S BRIDGE,substation,NIE Networks,33,33.0,54.4374908,-7.326825
relation/15004146,Letteragh Wind Farm,Letteragh Wind Farm,LETTERAGH WIND FARM,plant,Greencoat Renewables,,,52.7829984,-9.1966597
way/66493784,Letterkenny 110kV Station,Letterkenny 110kV Station,LETTERKENNY,substation,EirGrid,110;38;10,110.0,54.9241287,-7.6977545
way/519190719,Liberty Street 110kV Substation,Liberty Street 110kV Substation,LIBERTY STREET,substation,EirGrid,110;10,110.0,51.8980182,-8.4779632
way/1112066386,Liffey Meats Solar Farm,Liffey Meats Solar Farm,LIFFEY MEATS SOLAR FARM,plant,,,,53.8508284,-7.2045316
way/448329207,Liffey Valley 38kV Substation,Liffey Valley 38kV Substation,LIFFEY VALLEY,substation,ESB Networks,38,38.0,53.3480519,-6.3942588
way/374858231,Limavady 110 kV Substation,Limavady 110 kV Substation,LIMAVADY,substation,NIE Networks,110,110.0,55.0242354,-6.9158482
way/96765746,Limerick 110kV Substation,Limerick 110kV Substation,LIMERICK,substation,EirGrid,110;38,110.0,52.634953,-8.6416309
way/374873312,Lisaghmore 110kV Substation,Lisaghmore 110kV Substation,LISAGHMORE,substation,NIE Networks,110,110.0,54.9806374,-7.3049906
