,Moy wind,Corderry wind,Clogher wind,Drumkeen wind,Cathaleen's Fall wind,Glenree wind,Binbane wind,Letterkenny wind,Sorne Hill wind,Sligo wind,Trillick wind,Ardnagappary wind,Croaghonagh wind
30,0.001128761487494057,0.0004125427821559225,0.004022085446320759,0.0057785675446254394,0.0004868037109457954,0.0005760277679613663,0.0024001592469907523,0.005938227460356921,0.05540333047169217,0.0007289272298007601,0.05540333047169217,0.016965966240087473,0.004022085446320759
31,0.0015825265567417522,0.00045259758975411404,0.005434605864994468,0.009468447221230275,0.0004905284731806444,0.0007468386053939431,0.0035061844187395234,0.009587983778528522,0.08246771934508501,0.0009686638731207366,0.08246771934508501,0.02261458117435579,0.005434605864994468
32,0.0013866628543984596,0.0004451358062301029,0.0051414871731418725,0.008726382614219272,0.0004573225789281816,0.0006961405450105513,0.0039223976798115415,0.00879614654150293,0.05097489639045739,0.0008166491745974069,0.05097489639045738,0.011769933567246402,0.0051414871731418725
33,0.0011884338318073004,0.0004003155105943567,0.0055142822100512495,0.008940568173702309,0.00048430066975514377,0.0006543280465455914,0.003190891039378576,0.011598301850247504,0.043675068259972125,0.0007116314609054728,0.043675068259972125,0.01724569959957378,0.0055142822100512495
34,0.0009390743465543124,0.0004142261365426636,0.00545962322656971,0.00575278636505416,0.0005128146310418564,0.0006283880375305496,0.0031386861564150197,0.00800558271746644,0.03709237266899712,0.0006865077646603406,0.03709237266899713,0.008518358913362835,0.00545962322656971
35,0.0015801803640748027,0.000742120325807651,0.006199490360868819,0.006317101141845743,0.0006834428507189618,0.000939820293656029,0.002483733738435126,0.009174110117467394,0.028714401697996245,0.0010897748522079769,0.028714401697996248,0.006827327293778114,0.006199490360868819
36,0.0015639823108607102,0.0012041842176194013,0.010260520185727696,0.008869218395104394,0.0009125641675694101,0.0010537527764549067,0.0037711081420960762,0.015877802377478364,0.04498376915069822,0.0014604906833184724,0.04498376915069821,0.009501007246809457,0.010260520185727696
37,0.0007885721109190674,0.0006559641149677095,0.002790535480916576,0.0031425899424468023,0.0004707308995695967,0.00059803913999158,0.0015364238868894198,0.00677258379113316,0.03076962558057826,0.0006092880644669603,0.030769625580578268,0.004212899689309626,0.002790535480916576
38,0.0006699599612517541,0.0005311338106277234,0.001414808497944845,0.0016155989178411414,0.0003867334256151532,0.0004674176763870895,0.0008773666926109729,0.0033182316319409267,0.015130151203140632,0.0005094997561271264,0.015130151203140634,0.0019255654493822187,0.001414808497944845
39,0.0007450400211618951,0.0005502765008002825,0.0011194641072034093,0.0017301610888587205,0.0003810991206559399,0.00045644088862284123,0.0008226404002282861,0.0027366668842009343,0.013866440013565623,0.0004868155045231065,0.013866440013565622,0.00239110471927601,0.0011194641072034093
40,0.0009763303124431315,0.0006212306889039229,0.0012097053860943715,0.0017007774720577131,0.0003889505805770958,0.0005068822464902736,0.0008317783944762236,0.002511111834095493,0.01455688038897311,0.0005321175556415253,0.014556880388973112,0.0015296608832773035,0.0012097053860943715
41,0.0010979864535274166,0.0005503744355451266,0.0012429807722058271,0.0026571603200529832,0.00037761282034362516,0.0005231270149344059,0.0010233953587937936,0.0039008704070166993,0.019700569318023404,0.0004723411152437921,0.019700569318023404,0.0030587028533722777,0.0012429807722058271
42,0.0015753980499664784,0.0006894266260892738,0.0021413185654571057,0.005636583688804183,0.0004716469244789242,0.0006780399493012406,0.0011688083231787547,0.006925480982101728,0.044986765932078,0.0005811075588241727,0.044986765932078,0.003854181982495105,0.0021413185654571057
43,0.002862497177101237,0.0011811361292230341,0.005389854723313176,0.01758100062400745,0.0007429905225460324,0.0010407138650644996,0.0029057709277407195,0.022829328940218403,0.13210679043511722,0.0010536462520009916,0.13210679043511722,0.013770913960681141,0.005389854723313176
44,0.0069544219574765205,0.0017587772701059532,0.006343210463532115,0.019575759804879096,0.0008539592381198946,0.001699668047911387,0.0034980271831208842,0.026764001017588683,0.13632359388750453,0.0015763176592347534,0.13632359388750456,0.020044896921767228,0.006343210463532115
45,0.005685225508373016,0.0010798424466967726,0.004317421731264539,0.016245393440561147,0.0007849837463699853,0.0016848545149609163,0.0039299021428112,0.02350923473575324,0.10058679844922486,0.0010649469645987208,0.10058679844922486,0.014899626537500675,0.004317421731264539
46,0.008844500391929341,0.0011991400756433497,0.003776610133673163,0.013952036662914306,0.0007406255778060922,0.0024410061786973762,0.004774606439346895,0.02183896555298686,0.09143194073644058,0.0010236706052437277,0.09143194073644058,0.012839858296463126,0.003776610133673163
47,0.0062460033660006456,0.000985434938798761,0.003436187209048509,0.011050375000288657,0.000655011110127809,0.0015298852280343017,0.003099897712846951,0.014230238144694842,0.04593835603038091,0.0007786463744218292,0.045938356030380906,0.007925528510781966,0.003436187209048509
48,0.0026916099892831617,0.0007041805001643885,0.0035854224391901565,0.009139830807454676,0.000504386333529964,0.001171386401329728,0.0029680782974497153,0.012047703045040145,0.06618700580615938,0.0005642066956270105,0.06618700580615937,0.009679433879080858,0.0035854224391901565
49,0.006370219194009831,0.0020440140551731215,0.013072066543085974,0.03524367220331583,0.0011370043173277251,0.0032396665584929494,0.012750422316159912,0.04236498804748219,0.1578206807369652,0.0015149340303065057,0.1578206807369652,0.035533013394206905,0.013072066543085974
50,0.008217552398136107,0.002872508397653268,0.013441902946442378,0.03806742751774675,0.0011234693966633163,0.0048615032717318415,0.013191987704980842,0.034614889645027264,0.10521705439368703,0.001691904983136828,0.105217054393687,0.03824842631659571,0.013441902946442378
51,0.014103996096360184,0.004340492097953426,0.01853179232387146,0.06893065199736755,0.0015610996786407142,0.008395508050726924,0.02353595742622206,0.050316180390570384,0.13872433346268837,0.0037980266425989046,0.13872433346268837,0.05535983910382499,0.01853179232387146
52,0.03399052035324434,0.005555180268849044,0.02645209448334421,0.08346838759587127,0.001913360136153391,0.01501470021923712,0.02276749605040052,0.06435474497405622,0.1252187537643776,0.004955307228166943,0.1252187537643776,0.055872457441617875,0.02645209448334421
53,0.11645344418957004,0.01085732309581098,0.05213374035583449,0.12160193553011435,0.005225097419645536,0.06039635462307115,0.04941178323546521,0.10003047665019243,0.2384281913865836,0.015278888011503285,0.2384281913865836,0.12519042541455588,0.05213374035583449
54,0.12956780241751378,0.012973166144652316,0.049560255685699404,0.10800805949657916,0.004360580206168522,0.07085055737221285,0.03822257969129079,0.08231703589690265,0.1455554411590777,0.017286475523863143,0.14555544115907768,0.1209640225102135,0.049560255685699404
55,0.07198307627007537,0.010026038428606927,0.03582104701125795,0.07872849845568802,0.003889195551027106,0.055424998094075334,0.028703570222747405,0.04858676717296596,0.07769366439716116,0.012506934943574532,0.07769366439716116,0.06063246754346839,0.03582104701125795
56,0.10386707497704528,0.017172952160551532,0.07042187139441008,0.14172951903067244,0.00877762453976516,0.06704873495748803,0.04700080378830918,0.09864214364518331,0.1524399280688955,0.017526487595995777,0.15243992806889553,0.13819732035092155,0.07042187139441008
57,0.12855538122281845,0.013779611093671302,0.0818098814502261,0.16760794228155573,0.009368963800679926,0.12362538878636542,0.05061805020736538,0.1130936444760676,0.0956140026173846,0.024012263186936087,0.09561400261738462,0.14527585028710932,0.0818098814502261
58,0.11332026647196879,0.017499324472036424,0.0483478950823679,0.09794177745746455,0.007308265698874041,0.1091408420360198,0.03755192132132535,0.057587642479795434,0.054355304938750126,0.023743411402643813,0.054355304938750126,0.06889884223919766,0.0483478950823679
59,0.1794957783685462,0.03634256049330462,0.13410831134783502,0.21310137166647253,0.019563494506648654,0.1820947508708618,0.1223859556580924,0.1333107606251453,0.1099201494111569,0.059388256202654435,0.10992014941115688,0.1521562893905758,0.13410831134783502
60,0.20344547871768542,0.03592118949588813,0.1302486158973753,0.20826185043515646,0.022131994449575955,0.2604619535652485,0.15276932071084495,0.152676516831073,0.13166840687094428,0.07284798157156652,0.1316684068709443,0.25241964018998364,0.1302486158973753
61,0.2335998423282254,0.039678276141844486,0.0768626719158955,0.13886745575856535,0.01571963968466947,0.26419401846303886,0.09111026291479496,0.08695465656459474,0.10099880436218978,0.07842951564672654,0.10099880436218979,0.135538004941504,0.0768626719158955
62,0.3062996561834164,0.0787177689430955,0.16433146725191797,0.2742773848658363,0.03279169198196544,0.4494247536891915,0.20141559466575829,0.14555540861134628,0.12998882067225256,0.13434331411950515,0.1299888206722526,0.21388964379371592,0.16433146725191797
63,0.5778753317365879,0.1790580475573192,0.3362574251906614,0.42731771995776874,0.10312960472775691,0.6928009328664839,0.39890129941363217,0.26929857847565325,0.2257530377646859,0.26437277635062484,0.22575303776468586,0.29170983115820587,0.3362574251906614
64,0.7541112980712336,0.25171004607869524,0.4586510623601962,0.4358630533403818,0.12273847947578063,0.8103148149817196,0.5658157510972919,0.30920241066906573,0.34927550077818986,0.36790424546467726,0.34927550077818975,0.40378369988710383,0.4586510623601962
65,0.8224645560642474,0.3354261701266808,0.5281915730163232,0.5640749178799581,0.14349432821161093,0.8471050508805119,0.6539928802778459,0.4635941516960698,0.4530999657021906,0.4410234829190751,0.4530999657021905,0.56585531618726,0.5281915730163232
66,0.6915035967525529,0.1743339087802169,0.325678299064267,0.34432183053422105,0.07653696631310333,0.7143557417164335,0.4786351716184246,0.279539243490493,0.35771231518112545,0.29229732083639787,0.35771231518112545,0.485020177155142,0.325678299064267
67,0.8896627909639832,0.5065678829348946,0.629294229898249,0.6033511013013338,0.1867732900720959,0.8921892288693858,0.7928993443816307,0.4532295963422021,0.4756571291766522,0.7314349963684612,0.47565712917665226,0.7270780029714802,0.629294229898249
68,0.8705274502070957,0.6178485897550002,0.7572184999799697,0.7678562387430166,0.27631914086431925,0.871841780391384,0.8503846457554125,0.6960677124118274,0.759458810863003,0.7608809396390532,0.7594588108630032,0.8513571447932573,0.7572184999799697
69,0.8357068341118886,0.4785001080852501,0.6864652554445683,0.6739208496962132,0.2310803355566609,0.8381275781829396,0.827732874362368,0.6284488436303364,0.6741290319541557,0.6658247950349815,0.6741290319541559,0.7763281700248768,0.6864652554445683
70,0.7912065635515785,0.4067685313608692,0.6226666885718534,0.6031850598217113,0.18545983806960137,0.7912274284496134,0.7850063775386055,0.5982141814662577,0.6245788162957596,0.6098401340042938,0.6245788162957595,0.723243784584204,0.6226666885718534
71,0.7391742396685499,0.6392866034091619,0.7058385253261076,0.687669938231548,0.32893537288802416,0.7392491653184526,0.739142884285356,0.68426635181952,0.7135257248209446,0.7242519734017061,0.7135257248209446,0.7314959143278867,0.7058385253261076
72,0.6749896601883165,0.6386329447371215,0.656165853563221,0.6652850619021585,0.3959691000782588,0.6749589596033503,0.6749821961800804,0.6636627456846156,0.6718832121224687,0.6732696289840883,0.6718832121224686,0.6717585687566587,0.656165853563221
73,0.6039089226328523,0.5496538237099976,0.5841185340522996,0.5934580428307897,0.360681442540845,0.603792235851604,0.6039027948576162,0.5780665729333617,0.5949592862839702,0.6029784484720526,0.5949592862839702,0.6028139029075947,0.5841185340522996
