bus,station,bus_count,psse_names,kv,jurisdiction,osm,osm_name,osm_voltage_kv,operator,lat,lon,method,score,runner_up,runner_up_score,voltage_check,note
1361,BALLYDINE,1,BALLYDINE,110,IE,way/172572963,Ballydine 110kV Substation,110;38;10,EirGrid,52.361399,-7.5207213,exact,100.0,,,agrees,
1371,BARNAGEERAGH,1,BARNAGEERAGH,110,IE,way/1003253888,Barnageeragh 110kV Substation,110;20,EirGrid,53.4042822,-6.3698501,exact,100.0,,,agrees,
1381,BARNAHELY,1,BARNAHELY,110,IE,way/79803764,Barnahely 110 kV Substation,110;38;20,EirGrid,51.8284805,-8.3442652,exact,100.0,,,agrees,
1401,BELLACORICK,2,BELLACORICK,110,IE,way/205659794,Bellacorick 110 kV Substation,110;38;20,EirGrid,54.1205007,-9.5787377,exact,100.0,,,agrees,
1411,AIRTON,1,AIRTON,110,IE,way/697470447,Airton 110kV Substation,110;20,EirGrid,53.2968693,-6.3674201,exact,100.0,,,agrees,
1421,BLACKROCK,1,BLACKROCK,110,IE,way/371316756,Blackrock 110kV Substation,110;38,EirGrid,53.2914859,-6.1746313,exact,100.0,,,agrees,
1431,BALLYRAGGET,1,BALLYRAGGET,110,IE,way/1009395517,Ballyragget 110 kV Substation,110;38;20,EirGrid,52.7988347,-7.342814,exact,100.0,,,agrees,
1441,BANDON,1,BANDON,110,IE,way/186166560,Bandon 110kV Substation,110;38;10,EirGrid,51.7739278,-8.733195,exact,100.0,,,agrees,
1451,CLOGHRAN,1,CLOGHRAN,110,IE,way/684177183,Cloghran 110kV Substation,110;20,EirGrid,53.4034934,-6.3610231,exact,100.0,,,agrees,
1461,BARRYMORE,1,BARRYMORE,110,IE,way/236651495,Barrymore 110kV Substation,110;38,EirGrid,52.0958683,-8.2546807,exact,100.0,,,agrees,
1471,BELCAMP,2,BELCAMP,220;110,IE,way/714018181,Belcamp 220kV Substation,220;110,EirGrid,53.409766,-6.2025287,exact,100.0,,,agrees,
1472,BELCAMP,2,BELCAMP,220;110,IE,way/714018181,Belcamp 220kV Substation,220;110,EirGrid,53.409766,-6.2025287,exact,100.0,,,agrees,
1481,BUTLERSTOWN,1,BUTLERSTOWN,110,IE,way/235590778,Butlerstown 110kV Substation,110;38,EirGrid,52.2286078,-7.1703735,exact,100.0,,,agrees,
1491,DEENES,1,DEENES,110,IE,way/1125141927,Deenes 110 kV Substation,110,EirGrid,53.6475064,-6.4407825,exact,100.0,,,agrees,
1501,BRINNY,2,BRINNY,110,IE,way/235933652,Brinny 110kV Substation,110,EirGrid,51.7851436,-8.7045456,exact,100.0,,,agrees,
1511,CLOGHBOOLA,1,CLOGHBOOLA,110,IE,way/494790508,Cloghboola 110kV Substation,110;20,EirGrid,52.3305984,-9.4380864,exact,100.0,,,agrees,
1521,BOGTOWN,1,BOGTOWN,110,IE,,,,,,,weak,70.58823529411764,BISHOPSTOWN,66.66666666666667,,"best candidate 'LOGUESTOWN' (way/193197077) scored 71, below 92"
1522,CLONEE,1,CLONEE,220,IE,way/516752881,Clonee 220kV Substation,220;20,EirGrid,53.4167869,-6.426741,exact,100.0,,,agrees,
1531,BALLYADAM,1,BALLYADAM,110,IE,,,,,,,weak,82.35294117647058,BALLYMUN,70.58823529411764,,"best candidate 'BALLYARD' (way/209985873) scored 82, below 92"
1541,BANOGE,1,BANOGE,110,IE,way/185706609,Banoge 110kV,110,EirGrid,52.6502648,-6.2725523,exact,100.0,,,agrees,
1551,BOGGERAGH,1,BOGGERAGH,110,IE,way/186889661,Boggeragh 110kV Substation,110;38;33,EirGrid,52.0384891,-8.9086408,exact,100.0,,,agrees,
1561,COOLDERRIG,1,COOLDERRIG,110,IE,way/1456366384,Coolderrig 110 kV Substation,110;20,EirGrid,53.32992,-6.4525519,exact,100.0,,,agrees,
1571,ARDNAGAPPARY,1,ARDNAGAPPARY,110,IE,way/705295479,Ardnagappary 110kV Substation,110;38,EirGrid,55.0566404,-8.2688178,exact,100.0,,,agrees,
1581,CABRA,1,CABRA,110,IE,way/374690911,Cabra 110 kV Substation,110;10,EirGrid,53.372675,-6.3003671,exact,100.0,,,agrees,
1601,CLASHAVOON,3,CLASHAVOON,220;110,IE,way/186889669,Clashavoon 220 kV Substation,220;110,EirGrid,51.938191,-8.9141082,exact,100.0,,,agrees,
1602,CLASHAVOON,3,CLASHAVOON,220;110,IE,way/186889669,Clashavoon 220 kV Substation,220;110,EirGrid,51.938191,-8.9141082,exact,100.0,,,agrees,
1611,CLONKEEN,2,CLONKEEN,110,IE,way/179214131,Clonkeen 110kV Substation,110,EirGrid,51.9841297,-9.2997624,exact,100.0,,,agrees,
1621,COOLROE,1,COOLROE,110,IE,way/373209904,Coolroe 110kV Substation,110;20,EirGrid,51.8859966,-8.6360252,exact,100.0,,,agrees,
1631,CORDERRY,1,CORDERRY,110,IE,way/189376942,Corderry 110kV Substation,110,EirGrid,54.1988681,-8.197639,exact,100.0,,,agrees,
1641,CASHLA,3,CASHLA,220;110,IE,way/42998577,Cashla 220 kV Substation,220;110,EirGrid,53.3081124,-8.8534296,exact,100.0,,,agrees,
1642,CASHLA,3,CASHLA,220;110,IE,way/42998577,Cashla 220 kV Substation,220;110,EirGrid,53.3081124,-8.8534296,exact,100.0,,,agrees,
1651,CLAHANE,1,CLAHANE,110,IE,way/210599157,Clahane 110kV Substation,110,EirGrid,52.3787738,-9.548026,exact,100.0,,,agrees,
1661,CASTLEBAR,1,CASTLEBAR,110,IE,way/200167853,Castlebar 110 kV Substation,110;38,EirGrid,53.8665266,-9.2692746,exact,100.0,,,agrees,
1671,KILCUMBER,1,KILCUMBER,110,IE,way/1051161785,Kilcumber 110kV Substation,110;33,EirGrid,53.2901576,-7.092703,exact,100.0,,,agrees,
1681,CARRIGADROHI,1,CARRIGADROHI,110,IE,way/179838650,Carrigadrohid 110kV Substation,110,EirGrid,51.8978487,-8.8633008,truncated,99.0,,,agrees,"PSS/E fills all twelve characters with 'CARRIGADROHI', a prefix of exactly one OSM name. 2 objects share this name; only one is tagged at this station's voltage"
1691,CENTRAL PARK,2,CENTRAL PARK,110,IE,way/470024318,Central Park 110kV Substation,110,EirGrid,53.2702392,-6.2060635,exact,100.0,,,agrees,
1701,CATH_FALL,1,CATH_FALL,110,IE,way/183986064,Cathleen's Fall 110kV Substation,110;38;10.5,EirGrid,54.4987533,-8.1769822,alias,100.0,,,agrees (not applied: alias),"the same station as CATH FALL, on the other busbar"
1711,CROMCASTLE,2,CROMCASTLE,110,IE,way/822400580,Cromcastle 110kV Substation,110;10,EirGrid,53.4030295,-6.2276046,exact,100.0,,,agrees,
1721,CAHIR,1,CAHIR,110,IE,way/374590823,Cahir 110kV Substation,110;38;10,EirGrid,52.3769959,-7.8984212,exact,100.0,,,agrees,
1731,CROMCASTLE,2,CROMCASTLE,110,IE,way/822400580,Cromcastle 110kV Substation,110;10,EirGrid,53.4030295,-6.2276046,exact,100.0,,,agrees,
1741,CARRICKMINES,2,CARRICKMINES,220;110,IE,way/35150701,Carrickmines 220 kV Substation,220;110;38;10,EirGrid,53.2562454,-6.1967385,exact,100.0,,,agrees,
1742,CARRICKMINES,2,CARRICKMINES,220;110,IE,way/35150701,Carrickmines 220 kV Substation,220;110;38;10,EirGrid,53.2562454,-6.1967385,exact,100.0,,,agrees,
1761,CLIFF,1,CLIFF,110,IE,way/183986059,Cliff 110kV Substation,110;10.5,EirGrid,54.4875201,-8.1042024,exact,100.0,,,agrees,2 objects share this name; only one is tagged at this station's voltage
1781,CASTLEFARM,2,CASTLEFARM,110,IE,way/975408238,Castlefarm 110kV Substation,110;22,EirGrid,52.6298482,-9.0544843,exact,100.0,,,agrees,2 objects share this name; only one is tagged at this station's voltage
1801,COOKSTOWN,1,COOKSTOWN,110,IE,way/98142043,Cookstown 110kV Substation,110;38;10,EirGrid,53.2931796,-6.3781277,exact,100.0,,,agrees,
1810,DARNDALE,1,DARNDALE,110,IE,way/697464725,Darndale 110kV Substation,110;10,EirGrid,53.407848,-6.2241754,exact,100.0,,,agrees,
1811,CLUTTERLAND,1,CLUTTERLAND,110,IE,way/1107158570,Clutterland 110 kV Substation,110,EirGrid,53.3179126,-6.4497145,exact,100.0,,,agrees,
1821,CLOON,1,CLOON,110,IE,way/198780339,Cloon 110 kV Substation,110;38;20;10,EirGrid,53.4834794,-8.8482757,exact,100.0,,,agrees,
1831,SCREEB,1,SCREEB,110,IE,way/251226613,Screeb 110kV Substation,110;38,EirGrid,53.3804345,-9.5853139,exact,100.0,,,agrees,
1841,CRANE,1,CRANE,110,IE,way/185706501,Crane 110kV Substation,110;38;20,EirGrid,52.5323772,-6.5144397,exact,100.0,,,agrees,
1851,CHERRYWOOD,1,CHERRYWOOD,110,IE,way/355532596,Cherrywood 110kV Substation,110;38;10,EirGrid,53.2433051,-6.1567888,exact,100.0,,,agrees,
1861,CARRICK ON S,1,CARRICK ON S,110,IE,way/195423192,Carrick-on-Shannon 110kV Substation,110;38;10,EirGrid,53.9373054,-8.1088425,truncated,99.0,,,agrees,"PSS/E fills all twelve characters with 'CARRICK ON S', a prefix of exactly one OSM name."
1871,COLLEGE PARK,1,COLLEGE PARK,110,IE,way/446020910,College Park 110kV Substation,110;10,EirGrid,53.4105364,-6.3761003,exact,100.0,,,agrees,
1881,CHARLEVILLE,1,CHARLEVILLE,110,IE,way/237476600,Charleville 110kV Substation,110;38;20;10,EirGrid,52.3301844,-8.6941349,exact,100.0,,,agrees,
1901,CARLOW,1,CARLOW,110,IE,way/170568529,Carlow 110kV Substation,110;38,EirGrid,52.8325066,-6.8445771,exact,100.0,,,agrees,
1921,COW CROSS,1,COW CROSS,110,IE,way/191715059,Cow Cross 110kV Substation,110;38;10,EirGrid,51.8651043,-8.3012481,exact,100.0,,,agrees,
1931,CUNGHILL,1,CUNGHILL,110,IE,way/179714187,Cunghill 110kV Substation,110;38,EirGrid,54.1111523,-8.6491987,exact,100.0,,,agrees,
1941,CUSHALING,1,CUSHALING,110,IE,way/219457456,Cushaling 110kV Substation,110,EirGrid,53.2891013,-7.0847828,exact,100.0,,,agrees,2 objects share this name; only one is tagged at this station's voltage
1951,CARROWBEG,1,CARROWBEG,110,IE,way/179305213,Carrowbeg 110 kV Substation,110;38;20;10,EirGrid,53.8093444,-9.5059925,exact,100.0,,,agrees,
1961,CASTLEVIEW,1,CASTLEVIEW,110,IE,way/154686756,Castleview 110kV Substation,110;10,EirGrid,51.9009511,-8.3704585,exact,100.0,,,agrees,
1971,COOMAGEARLAH,1,COOMAGEARLAH,110,IE,way/179214119,Coomagearlahy Substation,110,EirGrid,51.9385387,-9.311485,truncated,99.0,,,agrees,"PSS/E fills all twelve characters with 'COOMAGEARLAH', a prefix of exactly one OSM name. 2 objects share this name; only one is tagged at this station's voltage"
1981,CORRACLASSY,1,CORRACLASSY,110,IE,way/198834347,Corraclassy 110kV Substation,110,EirGrid,54.1527414,-7.7446161,exact,100.0,,,agrees,
1991,CASTLEDOCKRE,1,CASTLEDOCKRE,110,IE,way/460310631,Castledockrell 110kV Substation,110;20,EirGrid,52.5904745,-6.6343018,truncated,99.0,,,agrees,"PSS/E fills all twelve characters with 'CASTLEDOCKRE', a prefix of exactly one OSM name. 2 objects share this name; only one is tagged at this station's voltage"
2001,CULLENAGH,2,CULLENAGH,220;110,IE,way/150124101,Cullenagh 220 kV Substation,220;110,EirGrid,52.2493148,-7.2796709,exact,100.0,,,agrees,
2002,CULLENAGH,2,CULLENAGH,220;110,IE,way/150124101,Cullenagh 220 kV Substation,220;110,EirGrid,52.2493148,-7.2796709,exact,100.0,,,agrees,
2021,CITY WEST,1,CITY WEST,110,IE,way/98203610,Citywest 110kV Substation,110;10,EirGrid,53.2892499,-6.4163263,fuzzy,94.11764705882352,WEST CENTRAL,66.66666666666667,agrees,token-sort score 94 against 'CITYWEST'.
2041,CORDUFF,3,CORDUFF,220;110,IE,way/183749097,Corduff 220kV Substation,220;110,EirGrid,53.4193712,-6.3649353,exact,100.0,,,agrees,
2042,CORDUFF,3,CORDUFF,220;110,IE,way/183749097,Corduff 220kV Substation,220;110,EirGrid,53.4193712,-6.3649353,exact,100.0,,,agrees,
2052,CORDUFFB,1,CORDUFFB,220,IE,way/183749097,Corduff 220kV Substation,220;110,EirGrid,53.4193712,-6.3649353,fuzzy,93.33333333333333,CARRYDUFF,70.58823529411764,agrees,token-sort score 93 against 'CORDUFF'.
2072,CRUISERATH,1,CRUISERATH,220,IE,way/1003253882,Cruiserath 220kV Substation,220,EirGrid,53.4146281,-6.3817801,exact,100.0,,,agrees,
2090,KNOCKRANNY A,1,KNOCKRANNY A,110,IE,,,,,,,weak,90.9090909090909,KNOCKRAHA,66.66666666666667,,"best candidate 'KNOCKRANNY' (way/665898646) scored 91, below 92"
2091,KNOCKRANNY,1,KNOCKRANNY,110,IE,way/665898646,Knockranny 110kV Substation,110;38,EirGrid,53.3598717,-9.289752,exact,100.0,,,agrees,
2101,DUNDALK,1,DUNDALK,110,IE,way/266244304,Dundalk 110kV Substation,110;38;10,EirGrid,54.0053368,-6.4237884,exact,100.0,,,agrees,
2111,UGGOOL,1,UGGOOL,110,IE,way/589030589,Uggool 110kV Substation,110;33,EirGrid,53.3536722,-9.3355257,exact,100.0,,,agrees,
2121,DRUMLINE,1,DRUMLINE,110,IE,way/207628559,Drumline 110kV Substation,110;38;20,EirGrid,52.7239924,-8.8613742,exact,100.0,,,agrees,
2131,DROMADA,1,DROMADA,110,IE,way/439833711,Dromada 110kV Substation,110,EirGrid,52.4434711,-9.2344983,exact,100.0,,,agrees,
2141,DUNGARVAN,1,DUNGARVAN,110,IE,way/243503443,Dungarvan 110kV Substation,110;38,EirGrid,52.1082836,-7.6536881,exact,100.0,,,agrees,
2161,DOON,2,DOON|DOON_CAP,110,IE,way/374590824,Doon 110kV Substation,110;38;20;10,EirGrid,52.3836007,-7.6676498,exact,100.0,,,agrees,
2171,KNOCKALOUGH,1,KNOCKALOUGH,110,IE,way/1115737898,Knockalough Substation,110;20,EirGrid,53.3058138,-9.2491169,exact,100.0,,,agrees,
2181,DRYBRIDGE,1,DRYBRIDGE,110,IE,way/265890836,Drybridge 110kV Substation,110;38,EirGrid,53.7247696,-6.4010215,exact,100.0,,,agrees,
2202,DUNSTOWN,2,DUNSTOWN,380;220,IE,way/88144450,Dunstown 400kV Substation,400;220,EirGrid,53.1543743,-6.6881005,exact,100.0,,,agrees,
2204,DUNSTOWN,2,DUNSTOWN,380;220,IE,way/88144450,Dunstown 400kV Substation,400;220,EirGrid,53.1543743,-6.6881005,exact,100.0,,,agrees,
2221,DUNMANWAY,2,DUNMANWAY,110,IE,way/235929741,Dunmanway 110kV Station,110;38;20;10,EirGrid,51.7232312,-9.0897487,exact,100.0,,,agrees,
2225,DUNMANWAY,2,DUNMANWAY,110,IE,way/235929741,Dunmanway 110kV Station,110;38;20;10,EirGrid,51.7232312,-9.0897487,exact,100.0,,,agrees,
2231,DERRYBRIEN,1,DERRYBRIEN,110,IE,,,,,,,weak,77.77777777777779,DERRYBEG,77.77777777777779,,"best candidate 'DERRYLIN' (way/692196934) scored 78, below 92"
2241,DALLOW,2,DALLOW|DALLOW T,110,IE,way/513993739,Dallow 110kV Substation,110;38,EirGrid,53.1259869,-7.928076,exact,100.0,,,agrees,
2251,DARDISTOWN,1,DARDISTOWN,110,IE,way/458047174,Dardistown 110 kV Substation,110,EirGrid,53.4212033,-6.2342099,exact,100.0,,,agrees,
2261,DERRYIRON,5,DERRYIRON,110,IE,way/219769028,Derryiron 110 kV Substation,110,EirGrid,53.3581344,-7.2138473,exact,100.0,,,agrees,
2281,DALTON_A1,1,DALTON_A1,110,IE,,,,,,,weak,80.0,RANDALSTOWN,70.0,,"best candidate 'DALTON' (way/201208741) scored 80, below 92"
2301,DUNFIRTH,1,DUNFIRTH,110,IE,way/266499715,Dunfierth 110kV Substation,110;20,EirGrid,53.3880882,-6.8293304,fuzzy,94.11764705882352,MOUNTRATH,58.82352941176471,agrees,token-sort score 94 against 'DUNFIERTH'.
2321,DRUMKEEN,1,DRUMKEEN,110,IE,way/183549487,Drumkeen 110kV Substation,110,EirGrid,54.8631648,-7.7722302,exact,100.0,,,agrees,
2361,ENNIS,1,ENNIS,110,IE,way/52291514,Ennis 110kV Substation,110;38;10,EirGrid,52.860201,-8.9358728,exact,100.0,,,agrees,
2391,KILL HILL,1,KILL HILL,110,IE,way/521548109,Kill Hill 110kV Substation,110;38,EirGrid,52.5172741,-7.8209426,exact,100.0,,,agrees,
2401,MOUNT LUCAS,1,MOUNT LUCAS,110,IE,way/507859235,Mount Lucas 110kV Substation,110;20,EirGrid,53.262337,-7.2520289,exact,100.0,,,agrees,
2421,CORKAGH,1,CORKAGH,110,IE,way/513703422,Corkagh 110kV Substation,110,EirGrid,53.3238429,-6.4476689,exact,100.0,,,agrees,
2481,FASS EAST,1,FASS EAST,110,IE,,,,,,,weak,63.1578947368421,LUCAN EAST,63.1578947368421,,"best candidate 'OMAGH EAST' (way/1058410282) scored 63, below 92"
2491,FASS WEST,1,FASS WEST,110,IE,,,,,,,weak,70.0,OMAGH WEST,63.1578947368421,,"best candidate 'WEST OFFALY' (way/182914658) scored 70, below 92"
2521,FLAGFORD,2,FLAGFORD,220;110,IE,way/194575030,Flagford 220kV Substation,220;110,EirGrid,53.9116793,-8.1238358,exact,100.0,,,agrees,
2522,FLAGFORD,2,FLAGFORD,220;110,IE,way/194575030,Flagford 220kV Substation,220;110,EirGrid,53.9116793,-8.1238358,exact,100.0,,,agrees,
2541,FRN ST A,1,FRN ST A,110,IE,,,,,,,weak,66.66666666666667,SAINT LAWRENCES PK,62.06896551724138,,"best candidate 'BATH SAINT' (node/9609280789) scored 67, below 92"
2551,FRN ST B,1,FRN ST B,110,IE,,,,,,,weak,66.66666666666667,SLIABH BAWN WIND FARM,56.25,,"best candidate 'BATH SAINT' (node/9609280789) scored 67, below 92"
2561,FIN_URBAN,1,FIN_URBAN,110,IE,way/404371901,Huntstown Power Station,,,53.4124627,-6.3257744,coupled,95.0,FERBANE,62.5,not applied: placed from a neighbour,"bus 2561 is joined to bus 25674 (HUNTSTOW) by a zero-impedance branch, so it is inside the same station"
2562,FINGLAS,1,FINGLAS,220,IE,way/27144164,Finglas 220 kV Substation,220;110,EirGrid,53.4055029,-6.3149241,exact,100.0,,,agrees,
2563,FINGLAS220,1,FINGLAS220B,220,IE,way/27144164,Finglas 220 kV Substation,,,53.4055029,-6.3149241,coupled,95.0,BALTINGLASS,57.14285714285714,not applied: placed from a neighbour,"bus 2563 is joined to bus 2562 (FINGLAS) by a zero-impedance branch, so it is inside the same station"
2571,FIN_RURAL,1,FIN_RURAL,110,IE,way/27144164,Finglas 220 kV Substation,,,53.4055029,-6.3149241,coupled,95.0,FINNEA,53.333333333333336,not applied: placed from a neighbour,"bus 2571 is joined to bus 2562 (FINGLAS) by the station's own transformer, so it is inside the same station"
2581,FINGLAS B5,1,FINGLAS B5,110,IE,,,,,,,weak,82.35294117647058,BALTINGLASS,66.66666666666667,,"best candidate 'FINGLAS' (way/27144164) scored 82, below 92"
2591,FORTUNESTOWN,1,FORTUNESTOWN,110,IE,way/448710346,Fortunestown 110kV Substation,110;10,EirGrid,53.2829452,-6.4171604,exact,100.0,,,agrees,
2671,GARVAGH,1,GARVAGH,110,IE,way/202980108,Garvagh Glebe 110kV Substation,110;20,EirGrid,54.1504588,-8.1924874,prefix,98.0,,,agrees,'GARVAGH' is a prefix of exactly one OSM name and the voltage agrees. 2 objects share this name and lie within 0.0 km of each other - one site mapped more than once; the highest-voltage of them is taken
2681,GILRA,1,GILRA,110,IE,way/215062045,Gilra 110kV Substation,110,EirGrid,53.9144475,-7.9859944,exact,100.0,,,agrees,
2691,GARBALLAGH,1,GARBALLAGH,110,IE,way/1097376510,Garballagh 110 kV Substation,110,EirGrid,53.6572305,-6.4586834,exact,100.0,,,agrees,
2701,GLASMORE,1,GLASMORE,110,IE,way/27045289,Glasmore 110kV Substation,110;38;0.4,EirGrid,53.4677716,-6.2384064,exact,100.0,,,agrees,
2721,GRIFFINRATH,2,GRIFFINRATH,110,IE,way/257886373,Griffinrath 110kV Substation,110;38,EirGrid,53.3435573,-6.5644585,exact,100.0,,,agrees,
2731,GLANLEE,1,GLANLEE,110,IE,way/179214114,Glanlee 110kV Substation,110,EirGrid,51.925463,-9.3067693,exact,100.0,,,agrees,
2741,GREAT ISLAND,2,GREAT ISLAND,220;110,IE,way/96278380,Great Island 220kV Substation,220;110;38,EirGrid,52.2815845,-6.99172,exact,100.0,,,agrees,2 objects share this name and lie within 0.2 km of each other - one site mapped more than once; the highest-voltage of them is taken
2742,GREAT ISLAND,2,GREAT ISLAND,220;110,IE,way/96278380,Great Island 220kV Substation,220;110;38,EirGrid,52.2815845,-6.99172,exact,100.0,,,agrees,2 objects share this name and lie within 0.2 km of each other - one site mapped more than once; the highest-voltage of them is taken
2761,GRANGE,1,GRANGE,110,IE,way/438119450,Grange 110kV Substation,110;38,EirGrid,53.3996226,-6.1520925,exact,100.0,,,agrees,3 objects share this name; only one is tagged at this station's voltage
2771,GARROW,1,GARROW,110,IE,way/217487275,Garrow 110kV Substation,110;20,EirGrid,52.0026938,-9.131237,exact,100.0,,,agrees,
2781,GALWAY,1,GALWAY,110,IE,way/161472995,Galway 110kV Substation,110;38;10,EirGrid,53.290063,-9.0132121,exact,100.0,,,agrees,
2791,GALLANSTOWN,1,GALLANSTOWN,110,IE,relation/18566637,Ballymacarney Solar Farm,,Statkraft,53.450696,-6.3653809,prefix,98.0,,,silent,'GALLANSTOWN' is a prefix of exactly one OSM name and the voltage agrees.
2801,GOLAGH,2,GOLAGH|GOLAGH T,110,IE,way/183084855,Golagh 110kV Substation,110;38,EirGrid,54.6871253,-7.9351078,exact,100.0,,,agrees,
