station,method,osm,osm_name,osm_lat,osm_lon,eirgrid_lat,eirgrid_lon,distance_km,agrees
THORNSBERRY,exact,way/172726462,Thornsberry 110kV Substation,53.2949583,-7.4696537,53.294850034539536,-7.469631096905207,0.01213195111176347,True
DALLOW,exact,way/513993739,Dallow 110kV Substation,53.1259869,-7.928076,53.12589727155825,-7.928178288640028,0.012079212530523041,True
BALLYNAHULLA,exact,way/819997192,Ballynahulla 220kV Substation,52.1738656,-9.2611456,52.17389185728541,-9.26098146481032,0.01156729523018419,True
NORTH QUAYS,exact,way/443081627,North Quays 110kV Substation,53.3504282,-6.2355586,53.350376678926956,-6.2354098008414125,0.01141774503662012,True
MCDERMOTT,exact,way/440173457,McDermott 110kV Substation,53.3543732,-6.2509463,53.35432973529445,-6.2507981636130845,0.010955285214298569,True
KELLYSTOWN,exact,way/887405637,Kellystown 220 kV Substation,53.3823502,-6.524176,53.38226296374056,-6.524115394163427,0.010500117924707179,True
COOLDERRIG,exact,way/1456366384,Coolderrig 110 kV Substation,53.32992,-6.4525519,53.329835560945476,-6.452617741631921,0.010357331609492058,True
KILMAHUD,exact,way/437278179,Kilmahud 110kV Substation,53.3259419,-6.4540511,53.3259729193583,-6.454187551391677,0.00969631037773195,True
GLENLARA,exact,way/374587161,Glenlara 110kV Substation,52.2053487,-9.023808,52.20539081141053,-9.02393206081693,0.009664197971942724,True
BLAKE,exact,way/265386067,Blake 110 kV Substation,53.2886399,-6.8812414,53.28868969265913,-6.881360161919161,0.009642254492455893,True
WHITEGATE,exact,way/374906132,Whitegate 110kV Substation,51.8186651,-8.2389996,51.818718458958976,-8.238897816102927,0.009173319816434248,True
BLUNDELSTOWN,exact,way/1125304097,Blundelstown 110 kV Substation,53.444432,-6.5335903,53.44439665951555,-6.533711555328955,0.008940438958210438,True
TRINITY,exact,way/245044213,Trinity 110kV Substation,53.3425325,-6.2491939,53.34256827777558,-6.249076380619172,0.008757508536563737,True
SOMERSET,exact,way/183080497,Somerset 110kV Substation,53.2666198,-8.2305405,53.26656822033628,-8.2306388352723,0.008698483554915188,True
IKERRIN,exact,way/158575778,Ikerrin 110kV Substation,52.91857,-7.7713595,52.91854585409347,-7.771237938049854,0.008580982121808408,True
CUNGHILL,exact,way/179714187,Cunghill 110kV Substation,54.1111523,-8.6491987,54.111218029290455,-8.649250780750704,0.008058728404688768,True
TRILLICK,exact,way/201298435,Trillick 110kV Substation,55.1127756,-7.4186417,55.11281401463396,-7.418748210885331,0.008008332302969573,True
AIRTON,exact,way/697470447,Airton 110kV Substation,53.2968693,-6.3674201,53.29683692843911,-6.367525602298796,0.007881457232515102,True
OUGHTRAGH,exact,way/213508375,Oughtragh 110kV Substation,52.136625,-9.6927788,52.136588896782676,-9.692872847160825,0.007570697430920265,True
CLOGHER,exact,way/705880940,Clogher 110kV Substation,54.6870462,-7.9951038,54.6869863711046,-7.9951533768052645,0.0073764751262804205,True
