name,bus0,bus1,x,r,b,s_nom,length,carrier,sub_network,s_nom_source,psse_ckt
32604-32605-1,32604,32605,0.001444,0.0,0.0,9999.0,0.0,AC,0,no rating in the file and none inferable; kept the file's 9999,1
33004-33014-1,33004,33014,7.271984,2.493788,6.925207756232688e-05,60.0,20.43,AC,0,RATE1,1
33014-33024-1,33014,33024,3.293764,3.13348,2.770083102493075e-05,30.0,8.4,AC,0,RATE1,1
33014-68564-1,33014,68564,0.01444,0.0,0.0,90.0,0.0,AC,0,"station coupler, bounded by the weaker end",1
33024-33034-1,33024,33034,3.165248,2.7869200000000003,0.00038088642659279775,30.0,10.88,AC,0,RATE1,1
34602-68165-1,34602,68165,0.5356000000000001,0.43320000000000003,0.0006,18.0,5.1,AC,0,RATE1,1
34803-34813-1,34803,34813,1.158696,0.4965840000000001,0.001689623507805326,44.0,14.0,AC,0,RATE1,1
35011-66094-1,35011,66094,3.7873,1.7061,2.4793388429752065e-05,123.0,9.1,AC,0,RATE1,1
35231-90020-1,35231,90020,15.88125,1.96625,0.000167801652892562,881.0,50.0,AC,0,RATE1,1
35232-90020-2,35232,90020,15.88125,1.96625,0.000167801652892562,881.0,50.0,AC,0,RATE1,2
35604-68144-1,35604,68144,6.226527999999999,3.9002440000000003,0.000110803324099723,40.0,18.2,AC,0,RATE1,1
35804-35814-1,35804,35814,9.993924,8.444512,0.00029778393351800555,40.0,28.1,AC,0,RATE1,1
36204-36214-1,36204,36214,0.569658,0.1952288,4.84764542936288e-06,49.0,1.6,AC,0,RATE1,1
36402-36412-1,36402,36412,0.5252,0.40880000000000005,0.002325,28.0,10.5,AC,0,RATE1,1
36402-36422-1,36402,36422,0.6903999999999999,0.5372,0.0030499999999999998,28.0,13.8,AC,0,RATE1,1
36402-36432-1,36402,36432,1.2,0.9336,0.0013175,18.0,12.0,AC,0,RATE1,1
36402-36442-1,36402,36442,0.5988,0.484,0.000675,18.0,5.7,AC,0,RATE1,1
36432-36452-1,36432,36452,0.595,0.37400000000000005,1e-05,18.0,1.7,AC,0,RATE1,1
