name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse,geocode_method
star:3282-3281-32821-1,220.0,,,1.0297,PQ,,0,star of 3282-3281-32821-1,STAR,1.0,,,--,5.1071,
star:3282-3281-32822-2,220.0,,,1.02967,PQ,,0,star of 3282-3281-32822-2,STAR,1.0,,,--,5.107,
star:3282-3281-32823-3,220.0,,,1.02624,PQ,,0,star of 3282-3281-32823-3,STAR,1.0,,,--,5.3775,
star:3282-32810-32824-4,220.0,,,1.03077,PQ,,0,star of 3282-32810-32824-4,STAR,1.0,,,--,5.1876,
star:3332-3331-33321-1,220.0,,,1.06927,PQ,,0,star of 3332-3331-33321-1,STAR,1.0,,,--,9.8971,
star:3332-3331-33323-3,220.0,,,1.06927,PQ,,0,star of 3332-3331-33323-3,STAR,1.0,,,--,9.8971,
star:3342-3341-33421-1,220.0,,,1.03727,PQ,,0,star of 3342-3341-33421-1,STAR,1.0,,,--,0.5688,
star:3342-3341-33422-2,220.0,,,1.03728,PQ,,0,star of 3342-3341-33422-2,STAR,1.0,,,--,0.5688,
star:3462-3461-34621-1,220.0,,,1.0368,PQ,,0,star of 3462-3461-34621-1,STAR,1.0,,,--,6.5317,
star:3462-3461-34622-2,220.0,,,1.0368,PQ,,0,star of 3462-3461-34622-2,STAR,1.0,,,--,6.5317,
star:3472-3471-34721-1,220.0,,,1.01086,PQ,,0,star of 3472-3471-34721-1,STAR,1.0,,,--,-6.4233,
star:3472-3471-34722-2,220.0,,,1.01086,PQ,,0,star of 3472-3471-34722-2,STAR,1.0,,,--,-6.4233,
star:3472-3471-34723-3,220.0,,,1.01086,PQ,,0,star of 3472-3471-34723-3,STAR,1.0,,,--,-6.4233,
star:3472-3471-34724-4,220.0,,,1.01086,PQ,,0,star of 3472-3471-34724-4,STAR,1.0,,,--,-6.4233,
star:3522-3521-35221-1,220.0,,,1.0574,PQ,,0,star of 3522-3521-35221-1,STAR,1.0,,,--,-5.8752,
star:3522-3521-35223-3,220.0,,,1.05741,PQ,,0,star of 3522-3521-35223-3,STAR,1.0,,,--,-5.8743,
star:3522-35211-35222-2,220.0,,,1.05071,PQ,,0,star of 3522-35211-35222-2,STAR,1.0,,,--,-5.5145,
star:3522-35211-35224-4,220.0,,,1.04597,PQ,,0,star of 3522-35211-35224-4,STAR,1.0,,,--,-5.3667,
star:3522-35231-35236-1,220.0,,,1.03468,PQ,,0,star of 3522-35231-35236-1,STAR,1.0,,,--,-4.1621,
star:3522-35231-35238-3,220.0,,,1.03469,PQ,,0,star of 3522-35231-35238-3,STAR,1.0,,,--,-4.161,
star:3522-35232-35237-2,220.0,,,1.03355,PQ,,0,star of 3522-35232-35237-2,STAR,1.0,,,--,-4.2735,
star:3642-3641-36421-1,220.0,,,1.01619,PQ,,0,star of 3642-3641-36421-1,STAR,1.0,,,--,2.6762,
star:3842-3851-38423-3,220.0,,,1.01864,PQ,,0,star of 3842-3851-38423-3,STAR,1.0,,,--,-6.0037,
star:3842-3851-38424-4,220.0,,,1.02145,PQ,,0,star of 3842-3851-38424-4,STAR,1.0,,,--,-5.7825,
star:3852-3841-38421-1,220.0,,,1.02522,PQ,,0,star of 3852-3841-38421-1,STAR,1.0,,,--,-4.7694,
star:3852-3841-38422-2,220.0,,,1.02469,PQ,,0,star of 3852-3841-38422-2,STAR,1.0,,,--,-4.632,
star:3934-3942-39402-1,380.0,,,1.01956,PQ,,0,star of 3934-3942-39402-1,STAR,1.0,,,--,8.1677,
star:3940-3941-39423-1,220.0,,,1.04067,PQ,,0,star of 3940-3941-39423-1,STAR,1.0,,,--,6.5497,
star:3954-3942-39421-2,380.0,,,1.03133,PQ,,0,star of 3954-3942-39421-2,STAR,1.0,,,--,8.0319,
star:4384-4382-43821-1,380.0,,,1.01032,PQ,,0,star of 4384-4382-43821-1,STAR,1.0,,,--,5.1897,
star:4472-4461-44623-3,220.0,,,1.03037,PQ,,0,star of 4472-4461-44623-3,STAR,1.0,,,--,-5.8022,
star:4472-4471-44624-4,220.0,,,1.03047,PQ,,0,star of 4472-4471-44624-4,STAR,1.0,,,--,-5.8144,
star:4722-4721-47221-1,220.0,,,1.01131,PQ,,0,star of 4722-4721-47221-1,STAR,1.0,,,--,14.6662,
star:4722-47210-47222-2,220.0,,,1.0128,PQ,,0,star of 4722-47210-47222-2,STAR,1.0,,,--,14.7406,
star:4942-4941-49422-2,220.0,,,1.03289,PQ,,0,star of 4942-4941-49422-2,STAR,1.0,,,--,-0.1558,
star:4943-4941-49421-1,220.0,,,1.03281,PQ,,0,star of 4943-4941-49421-1,STAR,1.0,,,--,-0.1581,
star:5042-5041-50421-1,220.0,,,1.05834,PQ,,0,star of 5042-5041-50421-1,STAR,1.0,,,--,-4.4235,
star:5142-51410-51422-2,220.0,,,1.03621,PQ,,0,star of 5142-51410-51422-2,STAR,1.0,,,--,7.5629,
star:5464-5462-54621-1,380.0,,,1.02154,PQ,,0,star of 5464-5462-54621-1,STAR,1.0,,,--,-2.7821,
star:5464-5462-54624-4,380.0,,,1.02154,PQ,,0,star of 5464-5462-54624-4,STAR,1.0,,,--,-2.7821,
star:5464-54622-54623-2,380.0,,,1.03644,PQ,,0,star of 5464-54622-54623-2,STAR,1.0,,,--,-2.7048,
star:30820-3081-30821-1,220.0,,,1.02264,PQ,,0,star of 30820-3081-30821-1,STAR,1.0,,,--,-5.7102,
star:30820-3091-30826-3,220.0,,,1.02124,PQ,,0,star of 30820-3091-30826-3,STAR,1.0,,,--,-6.3369,
star:70510-70520-70561-1,110.0,,,1.05537,PQ,,0,star of 70510-70520-70561-1,STAR,1.0,,,--,-2.6682,
star:70510-70520-70562-1,110.0,,,1.05541,PQ,,0,star of 70510-70520-70562-1,STAR,1.0,,,--,-2.6637,
star:74511-74520-74561-1,110.0,,,1.04403,PQ,,0,star of 74511-74520-74561-1,STAR,1.0,,,--,-4.8341,
star:74511-74520-74562-1,110.0,,,1.04838,PQ,,0,star of 74511-74520-74562-1,STAR,1.0,,,--,-4.8173,
star:74512-74520-74563-1,110.0,,,1.04629,PQ,,0,star of 74512-74520-74563-1,STAR,1.0,,,--,-4.8156,
star:75510-75520-75561-1,110.0,,,1.03381,PQ,,0,star of 75510-75520-75561-1,STAR,1.0,,,--,-0.7826,
star:75511-75520-75562-1,110.0,,,1.03437,PQ,,0,star of 75511-75520-75562-1,STAR,1.0,,,--,-0.8153,
star:81010-81020-81061-1,110.0,,,1.0485,PQ,,0,star of 81010-81020-81061-1,STAR,1.0,,,--,-4.4299,
star:81010-81020-81062-1,110.0,,,1.04909,PQ,,0,star of 81010-81020-81062-1,STAR,1.0,,,--,-4.4449,
star:81011-81020-81063-1,110.0,,,1.04662,PQ,,0,star of 81011-81020-81063-1,STAR,1.0,,,--,-4.4791,
star:81510-81520-81561-1,110.0,,,1.03181,PQ,,0,star of 81510-81520-81561-1,STAR,1.0,,,--,-3.4528,
star:81510-81520-81562-1,110.0,,,1.03209,PQ,,0,star of 81510-81520-81562-1,STAR,1.0,,,--,-3.4604,
star:90011-90020-90061-1,110.0,,,1.00809,PQ,,0,star of 90011-90020-90061-1,STAR,1.0,,,--,-4.5186,
star:90011-90020-90062-1,110.0,,,1.00809,PQ,,0,star of 90011-90020-90062-1,STAR,1.0,,,--,-4.5186,
star:90012-90020-90063-1,110.0,,,1.00806,PQ,,0,star of 90012-90020-90063-1,STAR,1.0,,,--,-4.5768,
star:90310-90320-90361-1,110.0,,,1.04164,PQ,,0,star of 90310-90320-90361-1,STAR,1.0,,,--,-4.0605,
star:90310-90320-90362-1,110.0,,,1.03901,PQ,,0,star of 90310-90320-90362-1,STAR,1.0,,,--,-4.0383,
GB_EWIC,260.0,,,1.0,Slack,GB_EWIC import,2,EWIC far terminal,EWIC,3.0,,,XX,,
GB_GREENLINK,150.0,,,1.0,Slack,GB_GREENLINK import,3,Greenlink far terminal,GREENLINK,3.0,,,XX,,
